Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
190088/21 - Concessão de Exploração da Unidade de Radioterapia;Concurso público;Concessão de serviços públicos;85100000-0;Principal;Serviços de saúde;1.06626064E7 € ;"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";"Joaquim Chaves Clínicas Médicas Ambulatório Soc Unip, Lda. (504148850)";"10.662.606,40 €";04-03-2022;15-02-2022;1460 dias;"Portugal, Évora, Évora";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1604359;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Medicamentos do Foro Oncológico;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33652100-6;Principal;Antineoplásicos;6398975.93 € ;"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";ACCORD HEALTHCARE UNIPESSOAL LDA (508622263);"6.398.975,93 €";08-06-2016;23-03-2016;280 dias;"Portugal, Évora, Estremoz";Artigo 259.º do Código dos Contratos Públicos;;;;;;;1224054;"CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOS PÚBLICOS DE APROVISIONAMENTO PARA A ÁREA DA SAÚDE, COM VISTA AO FORNECIMENTO DE MEDICAMENTOS DO FORO ONCOLÓGICO II, ÀS INSTITUIÇÕES E SERVIÇOS DO SERVIÇO NACIONAL DE SAÚDE  ";false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
190064/23 - PS Alimentação;Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;4642723.73 € ;"Hospital do Espírito Santo de Évora, EPE (508085888)";"ITAU - Instituto Técnico de Alimentação Humana, S.A (500142858)";"4.642.723,73 €";15-02-2023;09-02-2023;1095 dias;"Portugal, Évora, Évora";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2174744;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Medicamentos Oncologicos;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33652000-5;Principal;Antineoplásicos e imunomoduladores;4443674.34 € ;"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";"AMGEN BIOFARMACEUTICA LDA                          (502942959), FARMOZ - SOC TECNICO MEDICINAL SA                  (501505334), TEVA PHARMA - PRODUTOS FARMACEUTICOS LDA           (507045491), ASTRAZENECA PROD FARM LDA                          (502942240), JANSSEN CILAG FARMACEUTICA LDA                     (500189412), MEDAC                                              (980369959), RES MEDICAL                                        (502440163), BAYER PORTUGAL S A                                 (500043256), GLAXOSMITHKLINE-PROD FARMAC LD                     (500139962), HOSPIRA PORTUGAL LDA                               (502918098), ABBVIE LDA                                         (510229050), GENERIS - FARMACEUTICA SA                          (508107997), ACTAVIS AS                                         (980334934), MERCK SA                                           (500650870), LAB PFIZER LDA                                     (500162166), IPSEN PORTUGAL                                     (502609800), ROCHE FARMACEUTICA QUIMICA LDA                     (500233810), LILLY PORTUGAL - PRODUTOS FARMAEUTICOS LDA         (500165602), MERCK SHARP & DOME LDA                             (500191360)";"4.443.674,34 €";28-03-2014;29-01-2014;365 dias;"Portugal, Évora, Évora";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;345900;CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOS PÚBLICOS DE APROVISIONAMENTO PARA AQUISIÇÃO MEDICAMENTOS DO FORO ONCOLÓGICO ;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Medicamentos Foro Oncológico e Imunodulares;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;4437034.59 € ;"Hospital do Espírito Santo de Évora, EPE (508085888)";NOVARTIS FARMA-PROD FARMACEUT (500063524);"4.437.034,59 €";26-02-2019;09-01-2019;355 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;2969238;"CP 2017/6 - Acordo Quadro para fornecimento de Medicamentos do Foro Oncológico e Imunomoduladores, às Instituições e Serviços do Serviço Nacional de Saúde";false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Prestação de serviços de limpeza;Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;3094240.5 € ;"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";Nova Serviços. Lda (502117281);"3.094.240,50 €";16-11-2017;24-11-2016;365 dias;"Portugal, Évora, Évora";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Serviços de alimentação;Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;2660199.15 € ;"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";GERTAL (500126623);"2.660.199,15 €";02-02-2016;14-01-2016;1095 dias;"Portugal, Évora, Évora";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Aquisição de medicamentos do foro oncológico;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33652000-5;Principal;Antineoplásicos e imunomoduladores;2636007.33 € ;"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";"MERCK SHARP & DOHME, LDA (500191360), TEVA-PHARMA - PRODUTOS FARMACÊUTICOS, LDA. (507045491), ASTELLAS FARMA LDA (502540249), ASTRAZENECA-PRODUTOS FARMACÊUTICOS,LDA. (502942240), NOVARTIS FARMA-PRODUT.FARMACEUTICOS, SA (500063524), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), PFIZER BIOFARMACEUTICA, SOCIEDADE UNIPESSOAL LDA (513300376), BIOGEN IDEC PORTUGAL (506415740), ACCORD HEALTHCARE, UNIPESSOAL, LDA (508622263), MEDAC (980369959), HIKMA FARMACEUTICA (PORTUGAL),LDA (502266791), AbbVie, LDA (510229050), MERCK, S.A. (500650870)";"2.636.007,33 €";12-02-2018;28-12-2017;365 dias;"Portugal, Évora, Évora";Artigo 259.º do Código dos Contratos Públicos;;;;;;;2556441;CP2015-06 Medicamentos do foro oncologico SPMS - P259-AC-2016-174;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Medicamentos do Foro Oncológico;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33690000-3;Principal;Medicamentos vários;2333105.08 € ;"Hospital do Espírito Santo de Évora, E.P.E. (508085888)";"GLAXOSMITHKLINE-PROD FARMAC LD                     (500139962), FARMOZ - SOC TECNICO MEDICINAL SA                  (501505334), CPH PHARMA SA                                      (500069190), RES MEDICAL                                        (502440163), HOSPIRA PORTUGAL LDA                               (502918098), MERCK SHARP & DOME LDA                             (500191360), AMGEN BIOFARMACEUTICA LDA                          (502942959), TEVA PHARMA - PRODUTOS FARMACEUTICOS LDA           (507045491), GENERIS - FARMACEUTICA SA                          (508107997), MEDAC                                              (980369959), JANSSEN CILAG FARMACEUTICA LDA                     (500189412), DNA PHARMA LDA                                     (508917654), IPSEN PORTUGAL                                     (502609800), ACTAVIS AS                                         (980334934), ABBVIE LDA                                         (510229050), BAYER PORTUGAL S A                                 (500043256), LAB PFIZER LDA                                     (500162166), ASTRAZENECA PROD FARM LDA                          (502942240), OVERPHARMA LDA                                     (505792362), LAB MEDINFAR                                       (500384045)";"2.333.105,08 €";18-06-2013;24-04-2013;250 dias;"Portugal, Évora, Évora";Artigo 259.º do Código dos Contratos Públicos;;;;;;;345900;CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOS PÚBLICOS DE APROVISIONAMENTO PARA AQUISIÇÃO MEDICAMENTOS DO FORO ONCOLÓGICO ;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
