Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Aquisição de Serviços de Confeção, Fornecimento e Distribuição de Alimentação aos Doentes e Funcionários do CHBV e Atribuição da Exploração dos Refeitórios Utilizados pelos seus Colaboradores";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;6592577.99 € ;"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Eurest Portugal Lda (500347506);"6.592.577,99 €";23-02-2024;05-02-2024;1096 dias;"Portugal, Aveiro, Aveiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2617439;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços de Confeção, Fornecimento e Distribuição de Alimentação aos Doentes e Funcionários do CHBV e Atribuição da Exploração dos Refeitórios Utilizados pelos seus Colaboradores.";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;4061707.69 € ;"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";"Eurest Portugal, Lda (500347506)";"4.061.707,69 €";25-02-2021;06-11-2020;1095 dias;"Portugal, Aveiro, Aveiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1207057;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"aquisição de serviços de confeção, fornecimento e distribuição de alimentação aos doentes e colaboradores do CHBV, constituído pelas Unidades de Águeda, de Aveiro e de Estarreja e, ainda, a atribuição da exploração dos refeitórios utilizados pelos seus colaboradores.";Concurso público;Aquisição de serviços;55000000-0;Principal;"Serviços de hotelaria, restauração e comércio a retalho";3869441.27 € ;"Centro Hospitalar do Baixo Vouga, E. P. E (CHBV, E. P. E.) (510123210)";"EUREST (Portugal) – Sociedade Europeia de Restaurantes, Lda (500347506)";"3.869.441,27 €";31-12-2014;20-02-2014;1096 dias;"Portugal, Aveiro, Aveiro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
MEDICAMENTOS ANTI-INFECCIOSOS (CP 2012/40 E 41 - SPMS);Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33651000-8;Principal;Anti-infecciosos gerais de uso sistémico;2825565.23 € ;"Centro Hospitalar do Baixo Vouga, E. P. E (CHBV, E. P. E.) (510123210)";"GILEAD SCIENCES, LDA (503604704), JANSSEN-CILAG FARMACÊUTICA, LDA. (500189412), GLAXOSMITHKLINE-PROD.FARMA,LDA (500139962), UNILFARMA,LDA (500293023), BRISTOL - MYERS SQUIBB, S.A. (500048193), ViiV HEALTHCARE UNIPESSOAL, LDA. (509117961), ROCHE FARMACEUTICA QUIMICA,LDA (500233810), MERCK SHARP & DOHME, LDA (500191360), COMBINO PHARM PORTUGAL, UNIPESSOAL LDA (508622263), TEVA PHARMA-PROD.FARMACEUT,LDA (507045491), ABBVIE, LDA (510229050)";"2.825.565,23 €";22-04-2014;26-03-2014;280 dias;"Portugal, Aveiro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;455180;"CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOS PÚBLICOS DE APROVISIONAMENTO PARA A ÁREA DA SAÚDE, COM VISTA AO FORNECIMENTO DE MEDICAMENTOS ANTI-INFECIOSOS: ANTIVÍRICOS E ANTIFÚNGICOS, ÀS INSTITUIÇÕES E SERVIÇOS DO SERVIÇO NACIONAL DE SAÚDE  ";false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Empreitada de Remodelação e Ampliação do Serviço de Medicina Intensiva da Unidade de Aveiro do Centro Hospitalar do Baixo Vouga, E.P.E.";Concurso público;Empreitadas de obras públicas;45454000-4;Principal;Obras de reestruturação;2011000.0 € ;"Centro Hospitalar do Baixo Vouga, E.P.E. (510123210)";"M. KAIROS - Engenharia e Construção, S.A. (506530817)";"2.011.000,00 €";01-03-2021;21-01-2021;270 dias;"Portugal, Aveiro, Aveiro";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";Cumprimento integral do contrato;21-04-2023;"2.332.074,94 €";Prorrogações de prazo;Trabalhos complementares (art.º 373.º) e Revisão ordinária de preços (art.º 382.º);;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1301334;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"831/2024 - Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/47 (Medicamentos do aparelho locomotor, usados no tratamento das doenças endócrinas e hormonas), 2022/19 (Medicamentos antipsicóticos, anestésicos e relaxantes musculares), 2022/40 (Medicamentos antirretrovíricos para o tratamento da infeção por VIH), 2023/436 (Medicamentos para o sistema nervoso central), 2023/481 (Medicamentos diversos), 2023/491 (Medicamentos do foro oncológico e imunomoduladores), 2023/492 (Medicamentos anti-infeciosos) para aquisição de medicamentos";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;1645649.5 € ;"Unidade Local de Saúde da Região de Aveiro, E. P. E. (510123210)";"JANSSEN CILAG FARMACEUTICA, LDA. (500189412)";"1.645.649,50 €";13-09-2024;21-02-2024;334 dias;"Portugal, Aveiro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6529857;481/2023 - Acordo quadro para fornecimento de medicamentos diversos;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2740958;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"00296_2019 Aquisição de serviços de higiene e limpeza, com fornecimento de consumíveis de casa de banho para os Estabelecimentos e Serviços do SNS e do MS";Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;1616566.12 € ;"Centro Hospitalar do Baixo Vouga, E.P.E. (510123210)";"Ferlimpa 2 - Limpezas Gerais e Manutenção, Lda. (506278522)";"1.616.566,12 €";05-02-2020;18-12-2019;731 dias;"Portugal, Aveiro, Águeda<BR/>Portugal, Aveiro, Aveiro<BR/>Portugal, Aveiro, Estarreja";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Empreitada de Requalificação do Serviço de Urgência Básica e Área de MCDT do Hospital Conde de Sucena/Águeda;Concurso público;Empreitadas de obras públicas;45454000-4;Principal;Obras de reestruturação;1548000.0 € ;"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Nivel 20 Estudos Projectos e Obras Lda (503253715);"1.548.000,00 €";24-06-2021;15-06-2021;420 dias;"Portugal, Aveiro, Águeda";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";Cumprimento integral do contrato;04-12-2023;"2.035.021,36 €";Outras prorrogações ou prolongamentos de prazo e Prorrogações associadas a trabalhos complementares (art.º 374.º);Trabalhos complementares (art.º 373.º) e Revisão ordinária de preços (art.º 382.º);;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1236809;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
MEDICAMENTOS DO FORO ONCOLÓGICO II (SPMS - 2012/6);Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33652000-5;Principal;Antineoplásicos e imunomoduladores;1540694.09 € ;"Centro Hospitalar do Baixo Vouga, E. P. E (CHBV, E. P. E.) (510123210)";"MERCK SHARP & DOHME, LDA (500191360), MEDAC - SUCURSAL EM PORTUGAL (980369959), ABBVIE, LDA (510229050), ROCHE FARMACEUTICA QUIMICA,LDA (500233810), FRESENIUS KABI PHARMA PORTUGAL, LDA (504293753), BIOGEN IDEC PORTUGAL,LDA (506415740), TEVA PHARMA-PROD.FARMACEUT,LDA (507045491), BAYER PORTUGAL, S.A. (500043256), BAXTER MEDICO-FARMACEUTICA, LDA (503347345), HOSPIRA PORTUGAL, LDA. (502918098), JANSSEN-CILAG FARMACÊUTICA, LDA. (500189412), LILLY PORTUGAL - PRODUTOS FARMACEUTICOS, LDA (500165602), IPSEN PORTUGAL,SA (502609800), BRISTOL - MYERS SQUIBB, S.A. (500048193), NOVARTIS FARMA-PROD.FARMAC,LDA (500063524), GENERIS FARMACEUTICA, SA (508107997)";"1.540.694,09 €";19-03-2014;13-01-2014;352 dias;"Portugal, Aveiro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;383205;CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOS PÚBLICOS DE APROVISIONAMENTO PARA AQUISIÇÃO MEDICAMENTOS DO FORO ONCOLÓGICO II   ;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
