Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Aquisição da Prestação de Serviços para Transporte de Doentes em Ambulância;Concurso público;Aquisição de serviços;85143000-3;Principal;Serviços de ambulâncias;2800000.0 € ;"Unidade Local de Saúde do Oeste, E. P. E. (514993871)";Associação de Socorros da Freguesia da Encarnação (501866213);"2.800.000,00 €";27-03-2024;29-02-2024;730 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2657495;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"CP 18-28-2024 - Aquisição da Prestação de Serviços de Imagiologia-ECO e estudos Doppler, RM, Osteodensitometria";Concurso público;Aquisição de serviços;85150000-5;Principal;Serviços de imagiologia médica;2229555.84 € ;Centro Hospitalar do Oeste E.P.E. (514993871);"ULTRASONO RADIOLOGIA, LDA (502818093)";"2.229.555,84 €";03-05-2024;01-04-2024;1095 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2650284;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição Material Oftalmologia c/ colocação de Equipamento;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;1780390.0 € ;"Unidade Local de Saúde do Oeste, E. P. E. (514993871)";ALCON PORTUGAL-PRODUTOS E EQUIPAMENTOS OFTALMOLOGI (501251685);"1.780.390,00 €";30-04-2024;18-04-2024;1095 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2726381;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição Material de Osteossíntese;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;1509965.22 € ;"Centro Hospitalar do Oeste, E. P. E. (514993871)";"JOHNSON & JOHNSON, LDA (500153370)";"1.509.965,22 €";21-02-2024;15-02-2024;1096 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2625751;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CP nº 11000120 - Aquisição Gases Medicinais c/ Manutenção e Assistência Técnica;Concurso público;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;787323.9 € ;Centro Hospitalar do Oeste E.P.E. (514993871);Air Liquide Medicinal S.A. (501576436);"787.323,90 €";14-05-2022;26-11-2020;1095 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2022;"844.791,47 €";" Aumento de consumos durante a pandemia, sendo necessário antecipar quantidades do último ano do contrato";Necessidade de incremento de quantidades .;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1218197;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Eletricidade;Concurso público;Aquisição de bens móveis;09300000-2;Principal;"Electricidade, aquecimento, energia solar e nuclear";739511.18 € ;Centro Hospitalar do Oeste E.P.E. (514993871);"Iberdrola Clientes Portugal, Unipessoal, Lda. (502124083)";"739.511,18 €";23-04-2024;07-03-2024;306 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2713971;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição da Prestação de Serviços para a Manutenção preventiva e curativa aos equipamentos de Electromedicina do CHO, EPE";Concurso público;Aquisição de serviços;50800000-3;Principal;Serviços de reparação e manutenção diversos;695925.0 € ;"Centro Hospitalar do Oeste, E. P. E. (514993871)";"IBERDATA - Equipamentos, SA (501904921)";"695.925,00 €";20-06-2024;01-09-2023;1095 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2432241;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
58001420 - Contrato Aquisição da Prestação de Serviços Médicos - Acordo Quadro SPMS 2015/102 Especialidade Medicina Interna;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de serviços;85121200-5;Principal;Serviços de medicina especializada;680853.6 € ;Centro Hospitalar do Oeste E.P.E. (514993871);INSIDEPURPLE LDA (510275940);"680.853,60 €";30-09-2020;26-12-2019;180 dias;"Portugal, Leiria, Caldas da Rainha<BR/>Portugal";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-06-2020;"680.853,60 €";;;;1490434;ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS MÉDICOS ÀS INSTITUIÇÕES E SERVIÇOS DO SERVIÇO NACIONAL DE SAÚDE;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1065186;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição Testes por RT-PCTM SARS-COV2/COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;33696500-0;Principal;Reagentes de laboratório;630000.0 € ;"Centro Hospitalar do Oeste, E. P. E. (514993871)";"BIOPORTUGAL, LDA (502380543)";"630.000,00 €";09-03-2023;24-02-2022;184 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;31-12-2022;"580.000,00 €";;"O valor total do contrato é inferior ao adjudicado, por não ter existido o total de aquisições previstas para o período temporal .";;Não aplicável.;Não aplicável.;false;;false;;;"Decreto-Lei n.º 10-A/2020, de 13.03";true;false;
Aquisição Testes PCR Rápida;Ajuste Direto Regime Geral;Aquisição de bens móveis;33696500-0;Principal;Reagentes de laboratório;603060.0 € ;Centro Hospitalar do Oeste E.P.E. (514993871);"CEPHEID IBERIA, S.L.U. (SUCURSAL EM PORTUGAL) (980655684)";"603.060,00 €";24-03-2023;19-01-2023;184 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2209056;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
