Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"TAFAMIDIS 20 MG CAPS, PARA TRIÉNIO 2024-2026";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;3.0636E7 € ;"Centro Hospitalar Universitário de Lisboa Norte, EPE (508481287)";"LABORATÓRIOS PFIZER, LDA. (500162166)";"30.636.000,00 €";31-01-2024;31-01-2024;1096 dias;"Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6440964;436/2023 - Medicamentos para o sistema nervoso central;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2705062;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
211G000002 - Aquisição de Tafamidis 20 mg caps;Ajuste Direto Regime Geral;Aquisição de bens móveis;33661700-8;Principal;Outros medicamentos para o sistema nervoso;2.93706E7 € ;"Centro Hospitalar Universitário de Lisboa Norte, EPE (508481287)";"PFIZER BIOFARMACÊUTICA, SOC. UNIPESSOAL,LDA (513300376)";"29.370.600,00 €";26-01-2021;21-01-2021;1074 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://gov.saphety.com/bizgov/econcursos/procedurePiecesExport_199855!exportProcedure.action;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Aquisição de Sofosbuvir e Ledipasvir+sofosbuvir apenas representados pela empresa Gilead Sciences, Lda.";Ajuste Direto Regime Geral;Aquisição de bens móveis;33651400-2;Principal;Antivíricos de uso sistémico;2.112118771E7 € ;"CENTRO HOSPITALAR LISBOA NORTE, EPE (508481287)";"GILEAD SCIENCES, LDA (503604704)";"21.121.187,71 €";17-04-2017;08-02-2017;326 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Convite ao abrigo do(s) Acordo(s) quadro(s) 2020/1 e 2021/6, para o Centro Hospitalar Universitário Lisboa Norte, E.P.E. para o triénio 2022-2024.";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;1.899128652E7 € ;"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";MERCK SHARP DOHME (500191360);"18.991.286,52 €";25-01-2022;25-01-2022;1096 dias;"Portugal, Lisboa, Lisboa<BR/>Portugal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1709355;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"418/2023 - Convite ao abrigo do(s) acordo(s)-quadro 2021/41 (Medicamentos antivíricos e antifúngicos), 2020/1 (Medicamentos do aparelho cardiovascular), 2022/40 (Medicamentos antirretrovíricos para o ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;1.505672616E7 € ;"Centro Hospitalar Universitário de Lisboa Norte, EPE (508481287)";"JANSSEN CILAG FARMACEUTICA, LDA. (500189412)";"15.056.726,16 €";01-06-2023;04-05-2023;305 dias;"Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5354516;CP 2021/55 - Medicamentos diversos;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2276563;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"P259-2021-127 - Convite ao abrigo do(s) acordo(s)-quadro 2019/40 (Medicamentos antirretrovíricos para o tratamento da infeção por VIH), 2019/55 (Medicamentos Diversos), 2020/1 (Medicamentos do Aparelh";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;1.415028924E7 € ;"Centro Hospitalar Universitário de Lisboa Norte, EPE (508481287)";JANSSEN-CILAG (500189412);"14.150.289,24 €";17-03-2022;28-01-2022;337 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1778864;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"CP CT MED.AQ 2016/40;2017/6;2017/65 E 2018/55-P259-2018-183";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33690000-3;Principal;Medicamentos vários;1.379866859E7 € ;"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";"Janssen-Cilag Farmacêutica, Lda. (500189412)";"13.798.668,59 €";18-01-2019;18-01-2019;347 dias;"Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;;3430281;CP 2018/55;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
181G000020 -Aquisição de Tafamidis 20 mg.-caps. -Ano 2018;Ajuste Direto Regime Geral;Aquisição de bens móveis;33661000-1;Principal;Medicamentos para o sistema nervoso;1.3764E7 € ;"Centro Hospitalar Lisboa Norte, E. P. E. (508481287)";"PFIZER BIOFARMACÊUTICA, SOC. UNIPESSOAL,LDA (513300376)";"13.764.000,00 €";23-02-2018;09-02-2018;325 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/61 - Medicamentos diversos, 2023/304 - Medicamentos do grupo 4: sangue e 2023/491 - Medicamentos do foro oncológico e imunomoduladores para aquisição de medicamentos";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;1.285649452E7 € ;"Unidade Local de Saúde de Santa Maria, E. P. E. (508481287)";"ROCHE FARMACÊUTICA QUIMICA, LDA. (500233810)";"12.856.494,52 €";27-03-2024;15-03-2024;306 dias;"Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6677696;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2779853;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
