Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
08/CLPQ.21.2632;Concurso limitado por prévia qualificação;Aquisição de serviços;85121281-6;Principal;Serviços de oftalmologia;4473600.0 € ;"Unidade Local de Saúde do Tâmega e Sousa, E. P. E. (508318262)";"Clínica de Oftalmologia do Porto, Lda. (503246867)";"4.473.600,00 €";18-11-2024;11-12-2023;1096 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2553865;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Contratação de Serviços Médicos Globais na Especialidade de Oftalmologia;Consulta Prévia;Aquisição de serviços;85100000-0;Principal;Serviços de saúde;4151250.0 € ;"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"Clínica de Oftalmologia do Porto, Lda. (503246867)";"4.151.250,00 €";17-01-2019;14-11-2018;1095 dias;"Portugal, Porto, Amarante<BR/>Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Fornecimento de refeições;Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;4090763.88 € ;"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";Eurest Portugal Lda (500347506);"4.090.763,88 €";27-05-2015;24-12-2014;1096 dias;"Portugal, Porto, Amarante<BR/>Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Prestação de serviços de fornecimento de alimentação para a Unidade Padre Américo, com colocação de equipamento";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;Inexistente;"Centro Hospitalar do Tâmega e Sousa, EPE (508318262)";Serviço de Utilização Comum dos Hospitais (500900469);"3.036.693,62 €";06-10-2011;22-09-2011;1096 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"00270_2019 Concurso Público Internacional para Fornecimento de Refeições Confecionadas e serviços associados para o Centro Hospitalar do Tâmega e Sousa, EPE";Concurso público;Aquisição de serviços;55320000-9;Principal;Serviços de provimento de refeições;3032646.39 € ;"Centro Hospitalar do Tâmega e Sousa, E.P.E. (508318262)";"Uniself - Sociedade de Restaurantes Públicos e Privados, S.A. (501323325)";"3.032.646,39 €";16-06-2020;04-03-2020;668 dias;Portugal;"Artigo 32.º, n.º 2 do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Isolamento térmico das fachadas e substituição de vãos envidraçados ;Concurso público;Empreitadas de obras públicas;45000000-7;Principal;Construção;2726000.0 € ;"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"Vierominho II - Construção e Reabilitação, Lda. (509094686)";"2.726.000,00 €";23-10-2020;05-02-2020;400 dias;"Portugal, Porto, Penafiel";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
01/ADe.21.277- Reagentes GENEFINDER COVID-19 PLUS REALAMPKIT;Ajuste Direto Regime Geral;Aquisição de bens móveis;33696000-5;Principal;Reagentes e meios de contraste;2450000.0 € ;"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"BIOPORTUGAL, LDA (502380543)";"2.450.000,00 €";14-04-2021;18-03-2021;289 dias;"Portugal, Porto, Penafiel";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Decreto-Lei n.º 10-A/2020, de 13.03";true;false;
"Aquisição de diverso material de diagnóstico e intervenção de hemodinâmica, com colocação de equipamento";Concurso público;Aquisição de bens móveis;33180000-5;Principal;Apoio funcional;2327581.0 € ;"Centro Hospitalar do Tâmega e Sousa, E.P.E. (508318262)";"Medtronic Portugal, Lda. (504223933)";"2.327.581,00 €";12-12-2022;22-11-2022;1096 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1949179;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de diverso material de diagnóstico e intervenção de hemodinâmica, com colocação de equipamento";Concurso público;Aquisição de bens móveis;33180000-5;Principal;Apoio funcional;2326918.2 € ;"Centro Hospitalar do Tâmega e Sousa, E.P.E. (508318262)";"Abbott Medical (Portugal) - Distribuição de Produtos Médicos, Lda (504180746)";"2.326.918,20 €";12-12-2022;23-11-2022;1096 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1949179;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
