Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Empreitada para a Criação da Nova (UCI) Unidade de Cuidados Intensivos na Unidade Local de Saúde do Norte Alentejano, EPE ";Ajuste Direto Regime Geral;Empreitadas de obras públicas;45000000-7;Principal;Construção;5072498.18 € ;"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"Edibeiras - Edifícios e Obras Publicas das Beiras, Lda (508005833)";"5.072.498,18 €";09-02-2023;13-12-2022;488 dias;"Portugal, Portalegre";"Artigo 24.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
Fornecimento de eletricidade em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;3395306.62 € ;"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"Endesa Energia, S.A. – Sucursal Portugal (980245974)";"3.395.306,62 €";11-04-2023;23-01-2023;366 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;4313070;Acordo-Quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/pap/listaDocs.jsp?papId=4252;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Prestação de Serviços de Alimentação para as Instituições da   Unidade Local de Saúde do Norte Alentejano, EPE, 36 meses";Concurso público;Aquisição de serviços;55100000-1;Principal;Serviços de hotelaria;3321737.04 € ;"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";UNISELF S.A (501323325);"3.321.737,04 €";13-02-2020;07-02-2020;1095 dias;"Portugal, Portalegre, Portalegre";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"RE-C01-i03 - Conclusão da Reforma da Saúde Mental e Implementação da Estratégia para as Demência, Meta i.03 Requalificar as Instalações dos Serviços de Saúde Mental Existentes - Empreitada para Requalificação da Psiquiatria e Saúde Mental e Ampliação para Unidade Infanto-Juvenil da Unidade Local de Saúde do Norte Alentejano, EPE - Plano de Recuperação e Resiliência";Concurso público;Empreitadas de obras públicas;45200000-9;Principal;Obras de construção total ou parcial e de engenharia civil;2181834.72 € ;"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"Politermica - Engenharia , Lda (503653209)";"2.181.834,72 €";22-02-2024;17-11-2023;366 dias;"Portugal, Portalegre, Portalegre";"Artigo 2.º, alínea a), da Lei n.º 30/2021, de 21.05";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2137676;false;;Plano de Recuperação e Resiliência (PRR) – artigo 6º da Lei n.º30/2021;"Medidas Especiais de Contratação Pública (Lei n.º 30/2021, de 21.05)";false;true;
Aquisição de Papel para fotocópia e Impressão ;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;30197643-5;Principal;Papel para fotocópia;1678737.97 € ;"Administração Central do Sistema de Saúde, IP (508188423), Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE (508100496), Centro Hospitalar do Alto Ave, EPE (508080827), Unidade Local de Saúde de Matosinhos, EPE (506361390), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Hospital Dr. Francisco Zagalo (507846044), Centro Hospitalar de Leiria-Pombal, EPE (509822932), Centro Hospitalar Barreiro Montijo, EPE (509186998), Centro Hospitalar do Algarve, EPE (510745997), Hospital de Magalhães Lemos, EPE (502828790), Administração Regional de Saúde do Centro, IP (503122165), Administração Regional de Saúde do Norte, IP (503135593), Instituto Português do Sangue e da Transplantação, IP (502423943), Centro Hospitalar Tondela-Viseu, EPE (509822940), Direção-Geral da Saúde (600037100), Centro Hospitalar de Entre Douro e Vouga,  EPE (508878462), Centro Hospitalar Tâmega e Sousa, EPE (508318262), Hospital José Luciano de Castro (501613021), Centro Hospitalar de Setúbal, EPE (507606787), Hospital Espírito Santo, EPE (508085888), Centro Hospitalar Cova da Beira, EPE (506361659), Centro Hospitalar de Lisboa Norte, EPE (508481287), Instituto Nacional de Saúde Dr. Ricardo Jorge, IP (501427511), Centro Hospitalar Lisboa Central, EPE (508080142), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Secretaria-Geral do Ministério da Saúde (600080684), Instituto Português de Oncologia do Porto Francisco Gentil, EPE (506362299), Unidade Local de Saúde do Alto Minho, EPE (508786193), Unidade Local de Saúde de Castelo Branco, EPE (509309844), Autoridade Nacional do Medicamento e Produtos de Saúde, IP (600037002), Administração Regional de Saúde do Alentejo, IP (503148768), Instituto Nacional de Emergência Médica, IP (501356126), Centro Hospitalar do Médio Ave, EPE (508093937), Unidade Local de Saúde do Nordeste, EPE (509932584), Unidade Local de Saúde do Baixo Alentejo, EPE (508754275), Unidade Local de saúde da Guarda, EPE (508752000), Centro Hospitalar de S. João, EPE (509821197), Administração Regional de Saúde do Algarve, IP (503148709), Centro Hospitalar de Lisboa Ocidental, EPE (507618319), Instituto Português de Oncologia de Coimbra Francisco Gentil, EPE (506361438), Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências (600084884), Centro Hospitalar Vila Nova de Gaia/Espinho, EPE (508142156), Centro Hospitalar do Médio Tejo, EPE (506361608), Hospital de Santarém, EPE (506361462), Serviços Partilhados do Ministério da Saúde, EPE (509540716), Hospital Distrital Figueira da Foz, EPE (506361527), Centro Hospitalar e Universitário de Coimbra, EPE (510103448), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Administração Regional de Saúde de Lisboa e Vale do Tejo, IP (503148776), Inspeção-Geral das Atividades em Saúde (600018857), Hospital Santa Maria Maior, EPE (506361381), Centro Hospitalar do Porto, EPE (508331471), Centro Hospitalar do Oeste (510412009), Hospital Professor Doutor Fernando Fonseca, EPE (503035416), Unidade Local de Saúde do Norte Alentejano, EPE (508094461), Hospital Garcia de Orta, EPE (506361470), Hospital Arcebispo João Crisóstomo (501626123)";"staples portugal,sa (503789372)";"1.678.737,97 €";01-04-2014;02-01-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-01-2014;"5.443,80 €";;O total efetivo corresponde apenas a este Centro Hospitalar.;;162548;"Concurso limitado por prévia qualificação para a celebração de Acordo Quadro para fornecimento de papel, economato e consumíveis de impressão.";true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Empreitada para Requalificação e Modernização dos Serviços de Pediatria e Ortopedia do HDJMG - ULSNA, EPE";Concurso público;Empreitadas de obras públicas;45200000-9;Principal;Obras de construção total ou parcial e de engenharia civil;1570494.14 € ;"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"Politermica - Engenharia , Lda (503653209)";"1.570.494,14 €";11-05-2023;20-09-2022;270 dias;"Portugal, Portalegre, Portalegre";"Artigo 2.º, alínea a), da Lei n.º 30/2021, de 21.05";Cumprimento integral do contrato;26-02-2024;"1.874.692,59 €";Trabalhos complementares;As alterações ao valor da obra deveu-se ao facto dos trabalhos complementares e Revisão de Preços;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1879240;false;;Projetos financiados ou cofinanciados por fundos europeus – artigo 2º da Lei n.º30/2021;"Medidas Especiais de Contratação Pública (Lei n.º 30/2021, de 21.05)";false;true;
"Aquisição de reagentes de Bioquímica e Imunologia com colocação de equipamentos pelo período de 36 meses para a ULSNA, EPE";Concurso público;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";1226339.34 € ;"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";Roche Sistemas de Diagnóstico (504282921);"1.226.339,34 €";09-07-2015;20-02-2015;1080 dias;"Portugal, Portalegre, Portalegre<BR/>Portugal, Portalegre, Elvas";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"PRESTAÇÃO DE SERVIÇOS DE ALIMENTAÇÃO PARA AS INSTITUIÇÕES DA ULSAALE, EPE, PERÍODO DE JULHO A DEZEMBRO DE 2024";Concurso público;Aquisição de serviços;55500000-5;Principal;Serviços de cantinas e de fornecimento de refeições (catering);1219579.23 € ;"Unidade Local de Saúde do Alto Alentejo, E. P. E. (508094461)";Itau Instituto Alimentação Humana Sa (500142858);"1.219.579,23 €";11-11-2024;23-08-2024;1277 dias;"Portugal, Portalegre, Portalegre";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2917745/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Prestação de Serviços de Alimentação para as Instituições da ULSNA, EPE";Concurso público;Aquisição de serviços;55520000-1;Principal;Serviços de fornecimento de refeições (catering);1154034.14 € ;"Unidade Local de Saúde do Norte Alentejano, E.P.E. (508094461)";"ITAU - Instituto Técnico de Alimentação Humana, SA (500142858)";"1.154.034,14 €";14-06-2013;29-11-2012;365 dias;"Portugal, Portalegre, Portalegre";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2012;"1.154.034,14 €";;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
00306_2019 Concurso Público para a aquisição de serviços de higiene e limpeza para os Estabelecimentos e Serviços do SNS;Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;1146298.6 € ;"Unidade Local de Saúde do N. Alentejano,EPE(ULSNA) (508094461)";FERLIMPA 2 (506278522);"1.146.298,60 €";04-03-2020;01-01-2020;730 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2021;"1.146.298,60 €";;;;Não aplicável.;Não aplicável.;true;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
