Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
CP 180009/2022 Prestação serviços higiene e limpeza pelo período de 36 meses;Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;3073406.04 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"Sá Limpa Sociedade de Limpezas, Lda (504458086)";"3.073.406,04 €";29-11-2022;03-05-2022;1095 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1788965;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"P259-2021-004 - CONVITE AO ABRIGO DO(S) ACORDO(S) QUADRO 2017/6, 2018/55, 2019/40, 2019/55 E 2020/1 PARA AS INSTITUIÇÕES DO SNS ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2066814.29 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"Janssen-Cilag Farmacêutica,Lda (500189412)";"2.066.814,29 €";04-11-2021;04-02-2021;304 dias;"Portugal, Santarém, Santarém";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4382757;CP 2020/1 - Medicamentos do aparelho cardiovascular;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1380907;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"CP 170023/2022 Empreitada de beneficiação do Serviço de Anatomia Patológica, Morgue e Perícias Médicas";Concurso público;Empreitadas de obras públicas;45215100-8;Principal;Obras de construção de edifícios relacionados com serviços de saúde;1998597.77 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"SECAL Engenharia e Construções, SA (501982248)";"1.998.597,77 €";04-05-2023;06-12-2022;366 dias;"Portugal, Santarém, Santarém";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1986055;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
EMPREITADA BLOCO OPERATÓRIO E BLOCO PARTOS;Concurso público;Empreitadas de obras públicas;45215141-7;Principal;Construção de bloco operatório;1958825.56 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"SECAL - ENGENHARIA E CONSTRUÇÕES, S.A. (501982248)";"1.958.825,56 €";01-02-2017;25-01-2017;270 dias;"Portugal, Santarém, Santarém";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Aquisição de Papel para fotocópia e Impressão ;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;30197643-5;Principal;Papel para fotocópia;1678737.97 € ;"Administração Central do Sistema de Saúde, IP (508188423), Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE (508100496), Centro Hospitalar do Alto Ave, EPE (508080827), Unidade Local de Saúde de Matosinhos, EPE (506361390), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Hospital Dr. Francisco Zagalo (507846044), Centro Hospitalar de Leiria-Pombal, EPE (509822932), Centro Hospitalar Barreiro Montijo, EPE (509186998), Centro Hospitalar do Algarve, EPE (510745997), Hospital de Magalhães Lemos, EPE (502828790), Administração Regional de Saúde do Centro, IP (503122165), Administração Regional de Saúde do Norte, IP (503135593), Instituto Português do Sangue e da Transplantação, IP (502423943), Centro Hospitalar Tondela-Viseu, EPE (509822940), Direção-Geral da Saúde (600037100), Centro Hospitalar de Entre Douro e Vouga,  EPE (508878462), Centro Hospitalar Tâmega e Sousa, EPE (508318262), Hospital José Luciano de Castro (501613021), Centro Hospitalar de Setúbal, EPE (507606787), Hospital Espírito Santo, EPE (508085888), Centro Hospitalar Cova da Beira, EPE (506361659), Centro Hospitalar de Lisboa Norte, EPE (508481287), Instituto Nacional de Saúde Dr. Ricardo Jorge, IP (501427511), Centro Hospitalar Lisboa Central, EPE (508080142), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Secretaria-Geral do Ministério da Saúde (600080684), Instituto Português de Oncologia do Porto Francisco Gentil, EPE (506362299), Unidade Local de Saúde do Alto Minho, EPE (508786193), Unidade Local de Saúde de Castelo Branco, EPE (509309844), Autoridade Nacional do Medicamento e Produtos de Saúde, IP (600037002), Administração Regional de Saúde do Alentejo, IP (503148768), Instituto Nacional de Emergência Médica, IP (501356126), Centro Hospitalar do Médio Ave, EPE (508093937), Unidade Local de Saúde do Nordeste, EPE (509932584), Unidade Local de Saúde do Baixo Alentejo, EPE (508754275), Unidade Local de saúde da Guarda, EPE (508752000), Centro Hospitalar de S. João, EPE (509821197), Administração Regional de Saúde do Algarve, IP (503148709), Centro Hospitalar de Lisboa Ocidental, EPE (507618319), Instituto Português de Oncologia de Coimbra Francisco Gentil, EPE (506361438), Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências (600084884), Centro Hospitalar Vila Nova de Gaia/Espinho, EPE (508142156), Centro Hospitalar do Médio Tejo, EPE (506361608), Hospital de Santarém, EPE (506361462), Serviços Partilhados do Ministério da Saúde, EPE (509540716), Hospital Distrital Figueira da Foz, EPE (506361527), Centro Hospitalar e Universitário de Coimbra, EPE (510103448), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Administração Regional de Saúde de Lisboa e Vale do Tejo, IP (503148776), Inspeção-Geral das Atividades em Saúde (600018857), Hospital Santa Maria Maior, EPE (506361381), Centro Hospitalar do Porto, EPE (508331471), Centro Hospitalar do Oeste (510412009), Hospital Professor Doutor Fernando Fonseca, EPE (503035416), Unidade Local de Saúde do Norte Alentejano, EPE (508094461), Hospital Garcia de Orta, EPE (506361470), Hospital Arcebispo João Crisóstomo (501626123)";"staples portugal,sa (503789372)";"1.678.737,97 €";01-04-2014;02-01-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-01-2014;"5.443,80 €";;O total efetivo corresponde apenas a este Centro Hospitalar.;;162548;"Concurso limitado por prévia qualificação para a celebração de Acordo Quadro para fornecimento de papel, economato e consumíveis de impressão.";true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
180010/2024 Serviço de transporte de doentes ano 2024;Concurso público;Aquisição de serviços;85143000-3;Principal;Serviços de ambulâncias;1601476.0 € ;"Hospital Distrital de Santarém, EPE (506361462)";Associação Humanitária de Bombeiros Voluntários de Pernes (501129960);"1.601.476,00 €";30-01-2024;29-01-2024;366 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2662571;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CP 170001/2020-Aquisição e Instalação de um Equipamento de Ressonância Magnética de 3 Tesla (RM 3T);Concurso público;Aquisição de bens móveis;33111610-0;Principal;Unidade de ressonância magnética;1585000.0 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";General Electric Healthcare Portugal (500357129);"1.585.000,00 €";24-11-2021;01-02-2021;180 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1126361;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de medicamentos ao abrigo do CP 2017/6 e CP 2017/61 para Instituições do SNS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;1457968.85 € ;"Hospital Distrital de Santarém, EPE (506361462)";ROCHE FARMACEUTICA QUIMICA (500233810);"1.457.968,85 €";19-06-2020;17-01-2019;348 dias;"Portugal, Santarém, Santarém";Artigo 259.º do Código dos Contratos Públicos;;;;;;;2969238;"CP 2017/6 - Acordo Quadro para fornecimento de Medicamentos do Foro Oncológico e Imunomoduladores, às Instituições e Serviços do Serviço Nacional de Saúde";true;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
CP180007/2022-Prestação Serviços de Alimentação_Plurianual;Concurso público;Aquisição de serviços;55520000-1;Principal;Serviços de fornecimento de refeições (catering);1177742.16 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"Itau, Instituto Técnico Alimentação Humana, SA (500142858)";"1.177.742,16 €";02-05-2022;28-03-2022;1095 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1758270;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
FORNECIMENTO E MONTAGEM SISTEMA AVAC BLOCO OPERATÓRIO E BLOCO PARTOS ;Concurso público;Empreitadas de obras públicas;45331000-6;Principal;"Instalação de aquecimento, ventilação e ar condicionado";1154070.24 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"Termotérmica, Instalações Especiais, Lda (504013432)";"1.154.070,24 €";02-01-2018;20-12-2017;270 dias;"Portugal, Santarém, Santarém";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
180009/2021 Prestação Serviços Alimentação período de 10 meses Ano 2021;Concurso público;Aquisição de serviços;55520000-1;Principal;Serviços de fornecimento de refeições (catering);1092657.15 € ;"Hospital Distrital de Santarém, E. P. E. (506361462)";"ITAU Inst. Tec. alimentação humana, SA (500142858)";"1.092.657,15 €";07-09-2021;15-03-2021;304 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1378891;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Concurso Publico 180005/2019;Concurso público;Aquisição de serviços;55520000-1;Principal;Serviços de fornecimento de refeições (catering);1080746.52 € ;"Hospital Distrital de Santarém, EPE (506361462)";ITAU SA (500142858);"1.080.746,52 €";07-02-2019;05-02-2019;335 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
