Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Fornecimento de alimentação a utentes e colaboradores da ULSTMAD;Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;1.056624054E7 € ;"Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496)";"ITAU - Instituto Técnico de Alimentação Humana, S.A. (500142858)";"10.566.240,54 €";20-06-2024;20-06-2024;1095 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2752447;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"CI 1203-2024 Aquisição de reagentes para bioquimica, imunoquimica e serologia para a ULSTMAD, EPE.";Concurso público;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;8139141.15 € ;"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E. (508100496)";"Abbott Laboratórios, Lda (500006148)";"8.139.141,15 €";19-11-2024;11-11-2024;60 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2860139/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Fornecimento de alimentação a utentes e colaboradores do CHTMAD;Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;6609125.4 € ;"CENTRO HOSP. DE TRÁS-OS-MONTES E ALTO DOURO, EPE (508100496)";"EUREST (PORTUGAL) - Sociedade Europeia de Restaurantes,lda. (500347506)";"6.609.125,40 €";06-06-2019;14-03-2019;1095 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Fornecimento de alimentação a utentes e colaboradores do CHTMAD;Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;6558819.9 € ;"Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496)";"ITAU - Instituto Técnico de Alimentação Humana, S.A. (500142858)";"6.558.819,90 €";18-03-2020;12-03-2020;1095 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Fornecimento de alimentação aos doentes e colaboradores, do Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;5664281.85 € ;"Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496)";"GERTAL - COMPANHIA GERAL DE RESTAURANTES E ALIMENTAÇÃO, SA (500126623)";"5.664.281,85 €";24-02-2015;28-01-2015;1095 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"CI 3132-2020 - Aquisição de acelerador linear para o serviço de radioncologia do CHTMAD, EPE";Concurso público;Aquisição de bens móveis;33100000-1;Principal;Equipamento médico;5530715.0 € ;"CENTRO HOSP. DE TRÁS-OS-MONTES E ALTO DOURO, EPE (508100496)";RRTS UNIPESSOAL LDA (514185155);"5.530.715,00 €";20-10-2021;04-10-2021;3650 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1314604;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"CI 0199-2023 Aquisição virtualização de aplicações, desktop (VDI) e infraestrutura de suporte no datacenter para o CHTMAD, EPE.";Concurso público;Aquisição de bens móveis<br/>Aquisição de serviços;72100000-6;Principal;Serviços de consultoria em matéria de hardware;4823328.0 € ;"CENTRO HOSP. DE TRÁS-OS-MONTES E ALTO DOURO, EPE (508100496)";"KONICA MINOLTA BUSINESS SOLUTIONS PORTUGAL, UNIPESSOAL, LDA (502120070)";"4.823.328,00 €";21-08-2023;14-08-2023;1461 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2202271;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ALIMENTAÇÃO AOS DOENTES E FUNCIONÁRIOS DO CHTMAD, EPE";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;2483590.0 € ;"Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496)";"SERUNION - RESTAURANTES DE PORTUGAL, S.A (503378321)";"2.483.590,00 €";02-09-2014;01-06-2010;365 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"O objecto do presente contrato é o Fornecimento de Alimentação aos doentes e funcionários do CHTMAD, devidamente preparadas e confeccionadas, de acordo com as cláusulas do caderno de encargos e respectivos anexos -Manual de Dietas; Lista de Suplementos; Plano de Ementas; Mapa de Capitações para o Refeitório e Ementas para dias Festivos.";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;Inexistente;"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E (508100496)";"GERTAL-Companhia Geral de Restaurantes e Alimentação, SA (500126623)";"2.327.273,72 €";31-10-2012;01-02-2012;365 dias;"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
