Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Consultoria técnica nas áreas da Arqueologia e do Património Classificado para apoio ao projeto da Linha Circular do Metropolitano de Lisboa E.P.E. (2024) ;Setores especiais – isenção parte II;Aquisição de serviços;71310000-4;Principal;Serviços de consultoria em matéria de engenharia e construção;16800.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"FERNANDO CAMPOS DE SOUSA REAL,";"16.800,00 €";06-11-2024;15-07-2024;365 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Participação do Metropolitano de Lisboa, E.P.E. (ML) na reunião do COMET / “CEO´s day” ";Setores especiais – isenção parte II;Aquisição de serviços;63510000-7;Principal;Serviços de agências de viagens e serviços similares;19600.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"Atlantida Viagens e Turismo, SA (502607971)";"19.600,00 €";31-10-2024;30-09-2024;26 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Formação Primeiros Socorros Psicológicos + Formação Toolkit;Setores especiais – isenção parte II;Aquisição de serviços;80560000-7;Principal;Serviços de formação em matéria de saúde e primeiros socorros;17200.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";outCOme (506592855);"17.200,00 €";30-10-2024;26-09-2024;32 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Empreitada de manutenção dos sistemas de iluminação dos átrios da estação Aeroporto do Metropolitano de Lisboa, E.P.E.";Consulta Prévia;Empreitadas de obras públicas;45315600-4;Principal;Instalações de baixa tensão;58887.12 € ;"METROPOLITANO DE LISBOA, E.P.E (500192855)";"CILEC - Comércio e Indústria de Eléctricidade, Lda. (501998691)";"58.887,12 €";24-10-2024;16-07-2024;60 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2863058;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Reparação Escadas Mecânicas; nº 01 na Estação Saldanha 1 do Metropolitano de Lisboa, E.P.E. ";Setores especiais – isenção parte II;Aquisição de serviços;50740000-4;Principal;Serviços de reparação e manutenção de escadas rolantes;29443.48 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"TK Elevadores, Unipessoal Lda (501445226)";"29.443,48 €";18-10-2024;14-10-2024;18 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇOS PARA A REALIZAÇÃO DE ANÁLISE DE TRÁFEGO RODOVIÁRIO PARA AVALIAÇÃO DOS IMPACTES DA IMPLEMENTAÇÃO DA NOVA ESTAÇÃO DE ALCÂNTARA DO PROLONGAMENTO DA LINHA VERMELHA DE S. SEBASTIÃO A ALCÂNTARA DO METROPOLITANO DE LISBOA;Setores especiais – isenção parte II;Aquisição de serviços;71311200-3;Principal;Serviços de consultoria em sistemas de transportes;28350.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"TISPT, Consultores em Transportes, Inovação e Sistemas, S.A. (504527380)";"28.350,00 €";16-10-2024;15-09-2022;60 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição, por lotes, de Serviços de Seguro de Responsabilidade Civil e de Máquinas Casco para o Metropolitano de Lisboa (Ano 2022)- Proc. n.º 093/2021-DLO/ML";Concurso público;Aquisição de serviços;66516400-4;Principal;Serviços de seguros de responsabilidade civil global;181000.0 € ;"METROPOLITANO DE LISBOA, E.P.E. (500192855)";"Fidelidade Companhia de Seguros, S.A. (500918880)";"181.000,00 €";10-10-2024;02-02-2022;365 dias;"Portugal, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://gov.saphety.com/bizgov/econcursos/procedurePiecesExport_218096!exportProcedure.action;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição, por lotes, de Serviços de Seguro de Responsabilidade Civil e de Máquinas Casco para o Metropolitano de Lisboa (Ano 2022)- Proc. n.º 093/2021-DLO/ML";Concurso público;Aquisição de serviços;66514130-6;Principal;Serviços de seguros ferroviários;516435.1 € ;"METROPOLITANO DE LISBOA, E.P.E. (500192855)";"Fidelidade Companhia de Seguros, S.A. (500918880)";"516.435,10 €";10-10-2024;02-02-2022;365 dias;"Portugal, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://gov.saphety.com/bizgov/econcursos/procedurePiecesExport_218096!exportProcedure.action;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Peças para Motor DEUTZ F6L 413 F * NS 7612277 ;Setores especiais – isenção parte II;Aquisição de bens móveis;34600000-3;Principal;Locomotivas e material circulante para vias férreas e respectivas peças;5259.89 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"Socimavis-Comércio e Reparação de Máquinas, Lda (505370913)";"5.259,89 €";03-10-2024;02-07-2024;24 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços de Revisão dos Projetos de Remoção de Tetos Falsos e Remodelação das Instalações Elétricas, de Telecomunicações e Redes Hidráulicas e Reparação de Patologias da Estação Colégio Militar/Luz de acordo com as peças do procedimento. ";Consulta Prévia;Aquisição de serviços;71248000-8;Principal;Supervisão de projecto e documentação;34940.0 € ;"METROPOLITANO DE LISBOA, E.P.E (500192855)";"HidroAtlântico, Ld.ª (512101434)";"34.940,00 €";02-10-2024;24-09-2024;75 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2923954;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
FORNECIMENTO DE 100 CHAVES BLUETOOTH;Setores especiais – isenção parte II;Aquisição de bens móveis;44522200-7;Principal;Chaves;5574.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"Trablisa ESEGUR - Serviços de Segurança, S.A. (503125873)";"5.574,00 €";24-09-2024;28-08-2024;64 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE 250 COPOS DE LUBRIFICAÇÃO SKF LAGD 125/WA2;Setores especiais – isenção parte II;Aquisição de bens móveis;34631000-9;Principal;Peças para locomotivas ou material circulante;9650.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"RTSmais COMERCIO DE PRODUTOS E SERVICOS PARA INDUSTRIAS, SA (507306953)";"9.650,00 €";19-09-2024;19-09-2024;33 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE 49 CAMPANULAS LED DESIGN LINE II 120W 4000K;Setores especiais – isenção parte II;Aquisição de bens móveis;31500000-1;Principal;Equipamento para iluminação e lâmpadas eléctricas;7367.64 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";JOSÉ AUGUSTO PEREIRA DA SILVA & FILHOS (505249600);"7.367,64 €";17-09-2024;29-08-2024;8 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
FORNECIMENTO E MONTAGEM DE GRADES METÁLICAS METALIZADAS NA SAÍDA DE EMERGÊNCIA DA ESTRADA DO DESVIO DO METROPOLITANO DE LISBOA;Setores especiais – isenção parte II;Aquisição de bens móveis;44313000-7;Principal;Redes metálicas;17480.0 € ;"Metropolitano de Lisboa, E. P. E. (500192855)";"FRATERNA - ENGENHARIA, CONSULTORIA E CONSTRUÇÃO, LDA. (503373788)";"17.480,00 €";03-09-2024;04-07-2024;15 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
SET19.2024 Aquisição 40.000 Cartões CP Nacional;Setores especiais – isenção parte II;Aquisição de bens móveis;22457000-8;Principal;Cartões de acesso;39400.0 € ;"TML - Transportes Metropolitanos de Lisboa, E. M. T., S. A. (516150359)";"IDEMIA TECHNOLOGIES IBÉRICA, S.A (A61397311,)";"39.400,00 €";14-08-2024;14-08-2024;168 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
