Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
VÁRIOS MEDICAMENTOS;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";87577.72 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"AstraZeneca - Produtos Farmacêuticos, Lda. (502942240), Sandoz Farmacêutica, Lda.  (506985261), KVTECH PORTUGAL - PRODUTOS MÉDICOS, UNIPESSOAL, LDA. (508671531), LABORATORIOS FARMAC. ROVI, S.A. (980166705), HALEON PORTUGAL, LDA. (500276994), B. Braun Medical, Unipessoal Lda. (501506543), Abbvie, Lda (510229050), ZENTIVA PORTUGAL, Lda. (503103551), LOGISTA, TRANSPORTES, TRANSITÁRIOS E PHARMA, UNIPESSOAL, LDA. (503538108), Teva Pharma - Produtos Farmacêuticos, Lda. (507045491), ADVANZ PHARMA PORTUGAL, UNIPESSOAL LDA (513679073), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412), LAB. PFIZER, LDA. (500162166)";"87.577,72 €";11-11-2024;05-11-2024;12 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
VÁRIOS MWDICAMENTOS;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";155441.26 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"ViiV Healthcare, Unipessoal Lda (509117961)";"155.441,26 €";11-11-2024;05-11-2024;12 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
VÁRIOS MEDICAMENTOS;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";106433.01 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"LABESFAL-LAB. ALMIRO, SA. (501169580), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412), LAB. PFIZER, LDA. (500162166), AMGEN BIOFARMACÊUTICA, LDA. (502942959), PharmaKern Portugal - Produtos Farmacêuticos Sociedade Unipessoal Lda (507002571), DECOMED - FARMACÊUTICA, UNIPESSOAL, LDA (503099660), NOVARTIS FARMA - Produtos Farmacêuticos, SA. (500063524), BOEHRINGER INGELHEIM PORTUGAL (500537410)";"106.433,01 €";11-11-2024;05-11-2024;12 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
solução para a desmaterialização de pedidos de exames ao exterior;Consulta Prévia;Aquisição de bens móveis;48000000-8;Principal;Pacotes de software e sistemas de informação;41025.0 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";BYME - INFORMATION TECHNOLOGY LDA (507790960);"41.025,00 €";06-11-2024;25-10-2024;30 dias;"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"NUTRIÇÃO ENTÉRICA, SUPLEMENTOS E OUTROS_BIANUAL_24 MESES";Consulta Prévia;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";57887.56 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"Danone Nutricia, Unipessoal Lda. (507558286), KORANGI - PRODUTOS FARMACÊUTICOS, LDA. (505322307), FRESENIUS KABI PHARMA PORTUGAL (504293753), Nestlé Portugal Unipessoal Lda. (500201307)";"57.887,56 €";06-11-2024;16-10-2024;730 dias;"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
VÁRIOS MEDICAMENTOS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";112292.79 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"BAXTER MEDICO – FARMACEUTICA (503347345), MERCK SHARP DOHME (500191360), CSL BEHRING (503047201), GILEAD SCIENCES LDA. (503604704), AMGEN BIOFARMACÊUTICA, LDA. (502942959), FRESENIUS KABI PHARMA PORTUGAL (504293753), ACCORD HEALTHCARE , UNIPESSOAL LDA (508622263), DUX PHARMA Unipessoal , LDA. (510803679), SANDOZ FARMACÊUTICA, LDA. (506985261)";"112.292,79 €";06-11-2024;29-10-2024;12 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4641756;CP 2020/9 - Derivados do plasma humano;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
VÁRIOS MEDICAMENTOS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";44570.35 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"JABA RECORDATI, SA. (500492867), LABESFAL-LAB. ALMIRO, SA. (501169580), SANDOZ FARMACÊUTICA, LDA. (506985261), LAB. PFIZER, LDA. (500162166), BAXTER MEDICO – FARMACEUTICA (503347345), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412), Pharmis Biofarmacêutica, Lda. (502595442), GENERIS – FARMACEUTICA, S.A. (508107997), SAS GENNISIUM PHARMA (840638902), LABORATORIOS FARMAC. ROVI, S.A. (980166705), SPC - SOUTH POINT CARE - ESPECIALIDADES FARMACÊUTICAS, LDA. (508284872), GRIFOLS PORTUGAL (502041285), AMGEN BIOFARMACÊUTICA, LDA. (502942959), LOGISTA PHARMA (503538108)";"44.570,35 €";05-11-2024;29-10-2024;12 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6129254;173/2022 - Medicamentos diversos;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
VÁRIOS MEDICAMENTOS;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";96012.06 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"CICLUM FARMA UNIPESSOAL LDA (504362674), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), ViiV Healthcare, Unipessoal Lda (509117961), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412), GENERIS – FARMACEUTICA, S.A. (508107997)";"96.012,06 €";05-11-2024;23-10-2024;12 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
VÁRIOS MEDICAMENTOS;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";45119.12 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"GILEAD SCIENCES LDA. (503604704), MYLAN, LDA. (502248793), BRISTOL-MYERS SQUIBB FARMACÊUTICA PORTUGUESA S.A. (500048193), NOVARTIS FARMA - Produtos Farmacêuticos, SA. (500063524), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412), Alloga Logifarma, S.A. (503934640), SANOFI- PRODUTOS FARMACÊUTICOS,LDA. (500134960), Teva Pharma - Produtos Farmacêuticos, Lda. (507045491), SANDOZ FARMACÊUTICA, LDA. (506985261)";"45.119,12 €";05-11-2024;23-10-2024;12 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
VÁRIOS MEDICAMENTOS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";54562.65 € ;"Unidade Local de Saúde da Arrábida, E. P. E. (507606787)";"KVTECH PORTUGAL - PRODUTOS MÉDICOS, UNIPESSOAL, LDA. (508671531), ACCORD HEALTHCARE , UNIPESSOAL LDA (508622263), AstraZeneca - Produtos Farmacêuticos, Lda. (502942240), Teva Pharma - Produtos Farmacêuticos, Lda. (507045491), B. Braun Medical, Unipessoal Lda. (501506543), GILEAD SCIENCES LDA. (503604704), OCTAPHARMA - PRODUTOS FARMACEUTICOS (502820780), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412)";"54.562,65 €";05-11-2024;23-10-2024;12 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;7013489;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
