Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Aquisição de  4 Sistemas Propulsores para equipar as 2 lanças Salva-Vidas;Concurso público;Aquisição de bens móveis;34521400-9;Principal;Barcos salva-vidas;659623.54 € ;"Arsenal do Alfeite, S. A. (508881048)";"INDUMA - Máquinas Industriais, Lda (500138559)";"659.623,54 €";04-04-2018;13-03-2018;365 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
AQ.TRAB.MANUTENÇÃO NRP ARPÃO;Contratação excluída II;Aquisição de serviços;50241000-6;Principal;Serviços de reparação e manutenção de navios;615311.5 € ;Ministério da Defesa Nacional - Marinha (600012662);"Arsenal do Alfeite, S. A. (508881048)";"615.311,50 €";23-07-2024;24-04-2024;274 dias;"Portugal, Setúbal, Almada";artigo 5.º n.º 4 a) do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
ADCM 30/2021 - Aquisição de Serviços de Manutenção Diversos – PR031 – NRP Sagres;Ajuste Direto Regime Geral;Aquisição de serviços;50241000-6;Principal;Serviços de reparação e manutenção de navios;349590.0 € ;"Arsenal do Alfeite, S. A. (508881048)";"NAVALROCHA - SOC.DE CONST. REPARACAO NAVAIS, S.A. (504438034)";"349.590,00 €";04-06-2024;10-12-2021;21 dias;"Portugal, Setúbal, Almada";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
AQUISIÇÃO DE TRABALHOS PARA IMPLEMENTAÇÃO DA MODERNIZAÇÃO DAS REDES DO NAUTOS CMS C41 – NRP CORTE REAL;Contratação excluída II;Aquisição de serviços;50241000-6;Principal;Serviços de reparação e manutenção de navios;329111.7 € ;Ministério da Defesa Nacional - Marinha (600012662);"Arsenal do Alfeite, S. A. (508881048)";"329.111,70 €";23-07-2024;27-03-2024;263 dias;"Portugal, Setúbal, Almada";artigo 5.º n.º 4 a) do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços de reparação/recuperação de motores propulsores para a Arsenal do Alfeite, S.A.";Ajuste Direto Regime Geral;Aquisição de serviços;50800000-3;Principal;Serviços de reparação e manutenção diversos;Inexistente;"Arsenal do Alfeite, S. A. (508881048)";"INDUMA - Máquinas Industriais, Lda (500138559)";"287.490,00 €";12-01-2010;09-12-2009;98 dias;"Portugal, Setúbal, Almada";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Aquisição de serviços de reparação de motores propulsores para a Arsenal do Alfeite, S.A";Ajuste Direto Regime Geral;Aquisição de serviços;50116600-7;Principal;Serviços de reparação e manutenção de motores de arranque;Inexistente;"Arsenal do Alfeite, S. A. (508881048)";Induma Máquinas Industriais Lda (500138559);"287.490,00 €";30-04-2011;09-12-2009;98 dias;"Portugal, Setúbal, Almada";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";Cumprimento integral do contrato;17-03-2010;"287.490,00 €";;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
CP 12/2022;Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;194824.0 € ;"Arsenal do Alfeite, S.A. (508881048)";NEW SERVICES SOC UNIPESSOAL LDA. (515567841);"194.824,00 €";11-01-2023;21-12-2022;365 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2155442;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Serviços de limpeza para as instalações da Arsenal do Alfeite, S.A";Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;179912.38 € ;"Arsenal do Alfeite, S. A. (508881048)";"Sa Limpa - Sociedade de Limpezas, Lda (504458086)";"179.912,38 €";20-08-2021;16-12-2020;1095 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1306452;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Seguro de Acidentes de Trabalho;Concurso público;Aquisição de serviços;66000000-0;Principal;Serviços de finanças e seguros;Inexistente;"Arsenal do Alfeite, S. A. (508881048)";"CORBROKER CORRETORES DE SEGUROS, S.A (503239470)";"171.603,05 €";10-10-2012;16-05-2011;365 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Aquisição de vestuário Industrial para a Arsenal do Alfeite, S.A.";Ajuste Direto Regime Geral;Aquisição de bens móveis;18113000-4;Principal;Vestuário industrial;Inexistente;"Arsenal do Alfeite, S. A. (508881048)";"Proskipper, Lda (506401723)";"166.364,70 €";25-01-2010;18-01-2010;40 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;17-02-2010;"166.321,80 €";;Diferença relativa à rectificação de um valor unitário;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Aquisição de serviços de locação de 8 viaturas ligeiras de passageiros;Ajuste Direto Regime Geral;Aquisição de serviços;63520000-0;Principal;Serviços de agências de transporte;Inexistente;"Arsenal do Alfeite, S. A. (508881048)";"Locarent - Companhia portuguesa de alguer de viaturas, S.A. (502443880)";"164.062,00 €";13-01-2010;21-10-2009;1460 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
SERVIÇOS COMPLEMENTARES DA REVISÃO DE UM ANTEPROJECTO DE LANCHAS DE FISCALIZAÇÃO COSTEIRA;Ajuste Direto Regime Geral;Aquisição de serviços;71242000-6;Principal;"Preparação de projecto e concepção, estimativa de custos";Inexistente;"Estaleiros Navais de Viana do Castelo, S. A. (500100527)";ARSENAL DO ALFEITE SA (508881048);"150.000,00 €";08-06-2011;04-05-2011;90 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;08-08-2011;"153.429,60 €";;Pagamento de despesas de deslocação - Clausuka 4º do contrato;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
AQ.SERV.REV. INTREMÉDIA-DAE NRP SAGRES\;Contratação excluída II;Aquisição de serviços;50241000-6;Principal;Serviços de reparação e manutenção de navios;136917.9 € ;Ministério da Defesa Nacional - Marinha (600012662);"Arsenal do Alfeite, S. A. (508881048)";"136.917,90 €";23-07-2024;26-03-2024;274 dias;"Portugal, Setúbal, Almada";artigo 5.º n.º 4 a) do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Trabalhos de Tratamento e Preparação de Superfícies no NRP “Vasco da Gama”;Ajuste Direto Regime Geral;;;;;;Arsenal do Alfeite (600000125);"Chariots Robotics, Unipessoal, Lda. (508357233)";"136.000,00 €";11-05-2009;;53 dias;;Alínea c) do n.º 1 do Artigo 24.º do Decreto Lei 18/2008 de 29 de Janeiro;;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
