Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
STENT VASCULAR AUTOEXPANSIVEL.;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";14835.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"Medicinália-Cormédica, MCMedical, Lda. (500684324)";"14.835,00 €";12-11-2024;11-07-2024;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;06-09-2024;"14.835,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
060101662024 AQUISIÇÃO DE MEDICAMENTOS PARA AS NECESSIDADES IMEDIATAS DOS DOENTES-DESPACHO 1571-B/2016;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;55575.52 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"Generis Farmacêutica, S.A. (508107997)";"55.575,52 €";12-11-2024;11-11-2024;92 dias;"Portugal, Coimbra, Coimbra";Artigo 259.º do Código dos Contratos Públicos;;;;;;;7015503;305/2023 - Medicamentos do aparelho cardiovascular;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3072342/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Fio n/ absorvente, fita sub-uretal e stent tratamento.";Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";46425.48 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"JOHNSON & JOHNSON PROD.PROF., LDA (500153370)";"46.425,48 €";12-11-2024;24-07-2024;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
Assistência Técnica às 0bras da Urgência do CHUC Prorrogação do prazo da prestação por 5 meses (até 15 de fevereiro de 2025) ;Ajuste Direto Regime Geral;Aquisição de serviços;71200000-0;Principal;Serviços de arquitectura e afins;8085.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"Aripa - Ilídio Pelicano, Arquitectos, Lda. (500915814)";"8.085,00 €";11-11-2024;11-11-2024;151 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";true;false;
AQUISIÇÃO DE AJUDA TECNICA - MFR-HUC;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";7204.76 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"EPJMEDICA - Artigos Medicos e Hospitalares, Lda (506820513)";"7.204,76 €";11-11-2024;11-11-2024;30 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Sistema posicionador e prótese vascular recta.;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";10045.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"GETINGE GROUP PORTUGAL UNIPESSOAL,LDA (MAQUET) (506819698)";"10.045,00 €";11-11-2024;19-07-2024;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
Dispositivos de Encerramento e Stents;Contratação excluída II;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";95948.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";ABBOTT MEDICAL PORT. DIST. PROD.MED. (504180746);"95.948,00 €";11-11-2024;09-05-2024;20 dias;"Portugal, Coimbra, Coimbra";artigo 5.º n.º 1 do Código dos Contratos Públicos;Cumprimento integral do contrato;29-05-2024;"95.948,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Reparo de defeitos septais.;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";9720.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"EDWARDS LIFESCIENCES , LDA (508014832)";"9.720,00 €";11-11-2024;09-07-2024;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;25-07-2024;"9.720,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
Duplo J 2MM. tela e prótese peniana.;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";19472.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";"Boston Scientific Portugal, Dispositivos Médicos, Lda. (504988964)";"19.472,00 €";11-11-2024;12-07-2024;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
Sistema entrega encerramento PCA e CIA.;Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";8400.0 € ;"Unidade Local de Saúde de Coimbra, E. P. E. (510103448)";ABBOTT MEDICAL PORT. DIST. PROD.MED. (504180746);"8.400,00 €";11-11-2024;09-07-2024;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;26-09-2024;"8.400,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
