Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Q1/3525/2024 - MEDICAMENTOS DO APARELHO CARDIOVASCULAR II ;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;21568.0 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"OVERPHARMA,LDA.  (505792362)";"21.568,00 €";12-11-2024;11-11-2024;365 dias;"Portugal, Leiria, Leiria";Artigo 259.º do Código dos Contratos Públicos;;;;;;;7015503;305/2023 - Medicamentos do aparelho cardiovascular;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3088863/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
J1/1268/2024 - DSP Virus Kit ;Ajuste Direto Regime Geral;Aquisição de bens móveis;33696000-5;Principal;Reagentes e meios de contraste;10368.0 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"WERFEN PORTUGAL, LDA (501086110)";"10.368,00 €";12-11-2024;08-11-2024;273 dias;"Portugal, Leiria, Leiria";"Artigo 26.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3060343/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
J1/3256/2024 Reagentes para Hematologia ;Ajuste Direto Regime Geral;Aquisição de bens móveis;33696000-5;Principal;Reagentes e meios de contraste;69402.43 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"WERFEN PORTUGAL, LDA (501086110)";"69.402,43 €";12-11-2024;08-11-2024;92 dias;"Portugal, Leiria, Leiria";"Artigo 26.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3068746/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Q1/3583/2024 – Agregação Urgente – IRINOTECANO;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;4990.6 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"FRESENIUS KABI PHARMA PORTUGAL,LDA (504293753)";"4.990,60 €";11-11-2024;08-11-2024;53 dias;"Portugal, Leiria, Leiria";Artigo 259.º do Código dos Contratos Públicos;;;;;;;7013489;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Manutenção Equipamento Philips Azurion 7M20;Ajuste Direto Regime Geral;Aquisição de serviços;50800000-3;Principal;Serviços de reparação e manutenção diversos;7473.96 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"PHILIPS PORTUGUESA, SA (500216843)";"7.473,96 €";11-11-2024;05-11-2024;42 dias;"Portugal, Leiria, Leiria";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
J1/3410/2024 – AVATROMBOPAG 20 MG COMP;Ajuste Direto Regime Geral;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;15381.79 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";PROFARIN DISTRIBUIDORA DE PROD. FARM. INDUSTRIAIS (500223238);"15.381,79 €";11-11-2024;08-11-2024;365 dias;"Portugal, Leiria, Leiria";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3080883/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
J1/3162/2024 Reagentes para Imunologia;Ajuste Direto Regime Geral;Aquisição de bens móveis;33696000-5;Principal;Reagentes e meios de contraste;20273.0 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"SEBIA – Fabrico de Aparelhos Bioquímicos, Unipessoal Lda. (515487996)";"20.273,00 €";11-11-2024;08-11-2024;92 dias;"Portugal, Leiria, Leiria";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3059981/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Q1/3566/2024 - CEFTRIAXONA 1000 MG PO SOL INJ IV;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;9900.0 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"FRESENIUS KABI PHARMA PORTUGAL,LDA (504293753)";"9.900,00 €";08-11-2024;08-11-2024;61 dias;"Portugal, Leiria, Leiria";Artigo 259.º do Código dos Contratos Públicos;;;;;;;7012872;492/2023 - Concurso público internacional para formação do acordo quadro de medicamentos anti-infeciosos na área da saúde;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Q1/3559/2024 - CAPTOPRIL 25 MG COMP;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;164.43 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";BLUEPHARMA GENÉRICOS (506037169);"164,43 €";08-11-2024;07-11-2024;61 dias;"Portugal, Leiria, Leiria";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4382757;CP 2020/1 - Medicamentos do aparelho cardiovascular;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
J2/3585/2024 FIO SUTURA SEMI ABSORVÍVEL ALTA RESISTÊNCIA PDS;Ajuste Direto Regime Geral;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;633.78 € ;"Unidade Local de Saúde da Região de Leiria, E. P. E. (509822932)";"JOHNSON & JOHNSON PROD.PROF., LDA (500153370)";"633,78 €";08-11-2024;07-11-2024;1 dias;"Portugal, Leiria, Leiria";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;07-11-2024;"633,78 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
