Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Reparação de Angiógrafo com substituição de Drive Assy da Radiologia do HEM, ULSLO, E.P.E. ";Ajuste Direto Regime Geral;Aquisição de serviços;50400000-9;Principal;Serviços de reparação e manutenção de equipamento médico e de precisão;4245.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"CANON MEDICAL SYSTEMS, S.A. (980023700)";"4.245,00 €";11-11-2024;11-11-2024;15 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3081747/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"SUBSTITUIÇÃO DE CABO DE ALTA TENSÃO DE RX PORTÁTIL DA RADIOLOGIA DO HOSPITAL SANTA CRUZ, ULSLO, E.P.E. ";Ajuste Direto Regime Geral;Aquisição de serviços;50400000-9;Principal;Serviços de reparação e manutenção de equipamento médico e de precisão;4765.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";Med X-Ray (506187071);"4.765,00 €";11-11-2024;11-11-2024;10 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3073253/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO CONJUNTO DE CATETERES DE ELETROPORAÇÃO FOCAL;Ajuste Direto Regime Geral;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;99900.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"Medtronic Portugal, Lda. (504223933)";"99.900,00 €";11-11-2024;06-11-2024;92 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3074676/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Kits de Diálise - 2024 - ULSLO, EPE.";Ajuste Direto Regime Geral;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;7949.7 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"VANTIVE UNIPESSOAL, LDA. (517685485)";"7.949,70 €";08-11-2024;07-11-2024;61 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
"Consulta Prévia para Aquisição de Medicamentos/Produtos Farmacêuticos - 2024 - ULSLO, EPE.";Consulta Prévia;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;9000.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"FRESENIUS KABI PHARMA PORTUGAL,LDA (504293753)";"9.000,00 €";08-11-2024;23-10-2024;120 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3023149/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
128005924 – Aquisição de 1 Centrífuga Refrigerada para o Serviço de Medicina Transfusional do Hospital de Santa Cruz ;Consulta Prévia;Aquisição de bens móveis;33100000-1;Principal;Equipamento médico;10549.92 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"SupplyLab, Lda (508453534)";"10.549,92 €";07-11-2024;31-10-2024;45 dias;"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2998741;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2023/438 - Derivados do plasma humano e 2023/671 - Medicamentos diversos para aquisição de medicamentos derivados do plasma;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;958.4 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"GRIFOLS PORTUGAL, LDA. (502041285)";"958,40 €";07-11-2024;05-11-2024;92 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;6506197;438/2023 - Acordo-quadro para fornecimento de derivados do plasma humano;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.3025862;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2023/438 - Derivados do plasma humano e 2023/671 - Medicamentos diversos para aquisição de medicamentos derivados do plasma;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;39840.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"OCTAPHARMA, PRODUTOS FARMACÊUTICOS, LDA. (502820780)";"39.840,00 €";07-11-2024;05-11-2024;92 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;6506197;438/2023 - Acordo-quadro para fornecimento de derivados do plasma humano;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.3025862;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2023/438 - Derivados do plasma humano e 2023/671 - Medicamentos diversos para aquisição de medicamentos derivados do plasma;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;59742.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"CSL BEHRING, LDA. (503047201)";"59.742,00 €";07-11-2024;05-11-2024;92 dias;"Portugal, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6506197;438/2023 - Acordo-quadro para fornecimento de derivados do plasma humano;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.3025862;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"118014324 – Aquisição de 3 Óticas (1 para o Bloco Operatório Central do HSFX, 1 para o Bloco Operatório Central do HEM e 1 Bloco Operatório de Ginecologia do HSFX)";Ajuste Direto Regime Geral;Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";6916.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"ADJM-MEDICAL EQUIPMENT SERVICE, LDA (515245305)";"6.916,00 €";07-11-2024;10-10-2024;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.3048265/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
