Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Fatos e batas descartáveis não esterilizados pelo período de 12 (doze) meses;Concurso público;Aquisição de bens móveis;18110000-3;Principal;Vestuário profissional;25312.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"MEDLINE INTERNATIONAL PORTUGAL, UNIPESSOAL LDA. (510533515)";"25.312,00 €";12-11-2024;19-03-2024;365 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2676479/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Fatos e batas descartáveis não esterilizados pelo período de 12 (doze) meses;Concurso público;Aquisição de bens móveis;18110000-3;Principal;Vestuário profissional;38877.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"USV MED, Lda (516125885)";"38.877,00 €";12-11-2024;08-03-2024;365 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2676479/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Fatos e batas descartáveis não esterilizados pelo período de 12 (doze) meses;Concurso público;Aquisição de bens móveis;18110000-3;Principal;Vestuário profissional;54390.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"MEDLINE INTERNATIONAL PORTUGAL, UNIPESSOAL LDA. (510533515)";"54.390,00 €";12-11-2024;08-03-2024;365 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2676479/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de elétrodos até ao final do ano de 2024;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;23000.0 € ;"Unidade Local de Saúde de Loures-Odivelas, E. P. E. (516726862)";"MOONSURGE - MATERIAL MÉDICO, LDA (506657035)";"23.000,00 €";11-11-2024;16-04-2024;240 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2810176/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;2045.97 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"ZARYS INTERNATIONAL GROUP PORTUGAL, UNIPESSOAL LDA (517635640)";"2.045,97 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;526.82 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"Virtugal, Lda (510113923)";"526,82 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;6368.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"Texpol – Têxtil Planas Oliveras Portugal, Unipessoal, Lda. (509211216)";"6.368,00 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;8906.4 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"STRYKER PORTUGAL PRODUTOS MEDICOS, LDA (504594214)";"8.906,40 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;560.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"OVERPHARMA,LDA. (505792362)";"560,00 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;4912.5 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"Oftaldata, Produtos para Oftalmologia, Lda. (504887459)";"4.912,50 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;298.25 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"Medicinália-Cormédica, MCMedical, Lda. (500684324)";"298,25 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;153.3 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"FACTOR PLUS-PRODUTOS MEDICOS E HOSPITALARES, LDA. (502810645)";"153,30 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;7429.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"ESSITY PORTUGAL, LDA (503237612)";"7.429,00 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;2340.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"ENERRE PHARMA, LDA. (514818484)";"2.340,00 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ligaduras, Pensos, Tampão e material diverso";Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;1800.0 € ;"Unidade Local de Saúde de Loures-Odivelas, EPE  (516726862)";"CREATIVE NATION, UNIPESSOAL LDA. (516047981)";"1.800,00 €";31-10-2024;02-07-2024;180 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/contract-notice-view/PT1.NTC.2826839/;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
