Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"418/2023 - Convite ao abrigo do(s) acordo(s)-quadro 2021/41 (Medicamentos antivíricos e antifúngicos), 2020/1 (Medicamentos do aparelho cardiovascular), 2022/40 (Medicamentos antirretrovíricos para o ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;9289301.28 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"NOVARTIS FARMA - Produtos Farmacêuticos, SA. (500063524), ALLOGA LOGIFARMA, S.A. (503934640), ABBVIE,LDA (510229050), JANSSEN CILAG FARMACEUTICA, LDA. (500189412), GILEAD SCIENCES, LDA. (503604704)";"9.289.301,28 €";24-05-2023;13-04-2023;305 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5354516;CP 2021/55 - Medicamentos diversos;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2276563;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para Coluna Lombar - Neurocirurgia;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;8600130.0 € ;"Unidade Local de Saúde do Algarve, E. P. E. (510745997)";"YOURSPINE, LDA (513334408)";"8.600.130,00 €";19-06-2024;18-06-2024;1095 dias;"Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2630081;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
41/9020/2024 - Medicamentos da Centralização;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;7620643.21 € ;"Unidade Local de Saúde do Algarve, E. P. E. (510745997)";"Merck Sharp & Dohme, Lda. (500191360), LILLY PORTUGAL-PROD.FARMAC.LDA (500165602), MERCK  S.A. (500650870), GILEAD SCIENCES LDA. (503604704)";"7.620.643,21 €";15-10-2024;07-02-2024;335 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6677696;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2740051;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Prestação de Serviços de Alimentação para Utentes e Profissionais do Centro Hospitalar do Algarve, EPE de Maio a Dezembro de 2017";Ajuste Direto Regime Geral;Aquisição de serviços;55000000-0;Principal;"Serviços de hotelaria, restauração e comércio a retalho";6920468.8 € ;"Centro Hospitalar do Algarve, E. P. E. (510745997)";Such - Serviços Utilização Comum Hospitais (500900469);"6.920.468,80 €";12-05-2015;23-01-2015;975 dias;"Portugal, Faro, Lagos<BR/>Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"P259-2021-127 - Convite ao abrigo do(s) acordo(s)-quadro 2019/40 (Medicamentos antirretrovíricos para o tratamento da infeção por VIH), 2019/55 (Medicamentos Diversos), 2020/1 (Medicamentos do Aparelh";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;6693215.94 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"GILEAD SCIENCES, LDA. (503604704), ALLOGA LOGIFARMA, S.A. (503934640), JANSSEN CILAG FARMACEUTICA, LDA. (500189412)";"6.693.215,94 €";18-05-2023;16-02-2022;336 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1778864;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"41/9028/2024 - Convite à apresentação de propostas ao abrigo dos acordos-quadro: 2021/6 - Medicamentos do foro oncológico e imunomoduladores; 2021/47 - Medicamentos do aparelho locomotor, usados no tratamento das doenças endócrinas e hormonas; 2021/55 - Medicamentos diversos; 2022/40 - Medicamentos antirretrovíricos para o tratamento da infeção por VIH; 2023/304 - Medicamentos do grupo 4: sangue e 2023/491 - Medicamentos do foro oncológico e imunomoduladores.";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;4369492.18 € ;"Unidade Local de Saúde do Algarve, E.P.E (510745997)";"ViiV Healthcare, Unipessoal Lda (509117961), AMGEN BIOFARMACÊUTICA, LDA. (502942959), U C B PHARMA – PROD FARMACEUTICOS (500291322), BAXTER MEDICO – FARMACEUTICA (503347345), NOVARTIS FARMA - Produtos Farmacêuticos, SA. (500063524), BRISTOL-MYERS SQUIBB FARMACÊUTICA PORTUGUESA S.A. (500048193)";"4.369.492,18 €";08-11-2024;14-02-2024;304 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6677696;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2748162;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"41/9027/2024 - 831/2024 - Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/47 (Medicamentos do aparelho locomotor, usados no tratamento das doenças endócrinas e hormonas), 2022/19 (Medicamentos antipsicóticos, anestésicos e relaxantes musculares), 2022/40 (Medicamentos antirretrovíricos para o tratamento da infeção por VIH), 2023/436 (Medicamentos para o sistema nervoso central), 2023/481 (Medicamentos diversos), 2023/491 (Medicamentos do foro oncológico e imunomoduladores), 2023/492 (Medicamentos anti-infeciosos) para aquisição de medicamentos";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;4350274.83 € ;"Unidade Local de Saúde do Algarve, E. P. E. (510745997)";"LAB. PFIZER, LDA. (500162166), JANSSEN-CILAG FARMACÊUTICA, LDA (500189412)";"4.350.274,83 €";08-11-2024;14-02-2024;334 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6529857;481/2023 - Acordo quadro para fornecimento de medicamentos diversos;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2740958;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
PRESTAÇÃO DE SERVIÇOS DE RADIOTERAPIA;Concurso público;Aquisição de serviços;85100000-0;Principal;Serviços de saúde;4291812.65 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"Quadrantes Faro, Unidade de Radioterapia do Algarve, Lda. (505446120)";"4.291.812,65 €";08-03-2021;26-02-2021;306 dias;"Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1379992;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
41/9000/2021 - Aquisição ao abrigo dos AQs 2018/41 e 2018/40 para as instituições do SNS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;3641766.43 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"GILEAD SCIENCES, LDA. (503604704)";"3.641.766,43 €";20-06-2024;15-01-2021;365 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;3431699;Medicamentos antivíricos e antifúngicos;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1378874;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Processo n.º 31/2199/2014 – Aquisição de Efavirenz 600 mg + Emtricitabina 200 mg + Tenofovir 245 mg e Emtricitabina 200 mg + Tenofovir 245 mg;Ajuste Direto Regime Geral;Aquisição de bens móveis;33690000-3;Principal;Medicamentos vários - Para fins terapêuticos;3249971.84 € ;"Centro Hospitalar do Algarve, E. P. E. (510745997)";gilead (503604704);"3.249.971,84 €";21-07-2014;04-07-2014;210 dias;"Portugal, Faro, Faro";"Artigo 26.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Processo n.º 31/2199/2014;Ao abrigo de acordo-quadro (art.º 258.º);Aquisição de bens móveis;33690000-3;Principal;Medicamentos vários - Para fins terapêuticos;3249971.84 € ;"Centro Hospitalar do Algarve, E. P. E. (510745997)";gilead (503604704);"3.249.971,84 €";14-11-2014;04-07-2014;180 dias;"Portugal, Faro, Faro";"Artigo 26.º, n.º 1, alínea e) do Código dos Contratos Públicos";Cumprimento integral do contrato;04-07-2014;"3.249.971,84 €";;;;1120578;"CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOS PÚBLICOS DE APROVISIONAMENTO PARA A ÁREA DA SAÚDE, COM VISTA AO FORNECIMENTO DE MEDICAMENTOS ANTI-RETROVIRAIS, ÀS INSTITUIÇÕES E SERVIÇOS DO SERVIÇO NACIONAL DE SAÚDE  ";false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"P259-2021-119 - Convite ao abrigo do(s) acordo(s)-quadro 2019/40, 2019/55 e  2021/6, para suprir necessidades na área da saúde ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;3160853.18 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"ROCHE FARMACÊUTICA QUIMICA, LDA. (500233810)";"3.160.853,18 €";24-05-2023;16-02-2022;366 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1780657;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"41/9004/2021 - P259-2021-004 - CONVITE AO ABRIGO DO(S) ACORDO(S) QUADRO 2017/6, 2018/55, 2019/40, 2019/55 E 2020/1 PARA AS INSTITUIÇÕES DO SNS ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2920234.05 € ;"Centro Hospitalar Universitário do Algarve, E. P. E. (510745997)";"Janssen-Cilag Farmacêutica, Lda. (500189412)";"2.920.234,05 €";21-06-2024;19-01-2021;304 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4382757;CP 2020/1 - Medicamentos do aparelho cardiovascular;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1380907;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"P259-2021-105 - Convite ao abrigo do(s) acordo(s)-quadro 2019/40, 2019/55, 2020/1, 2020/50, 2021/6, 2021/12, para suprir necessidades na área da saúde.";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2886534.43 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"GLAXOSMITHKLINE-PROD. FARMACÊUTICOS, LDA. (500139962), MERCK SHARP DOHME, LDA. (500191360)";"2.886.534,43 €";19-05-2023;03-02-2022;366 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4028557;CP 2019/40 - Medicamentos antirretrovíricos para o tratamento da infeção por VIH;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1779366;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"254/2022 - Convite ao abrigo do(s) acordo(s)-quadro 2019/55, 2020/1, 2020/61 - medicamentos diversos, 2021/6, 2021/12, 2021/61, 2022/40, 2022/55, para suprir necessidades na área da saúde";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2836505.77 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"MERCK SHARP DOHME, LDA. (500191360), GLAXOSMITHKLINE - PRODUTOS FARMACÊUTICOS, LDA. (500139962)";"2.836.505,77 €";29-05-2023;10-02-2023;366 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2213883;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
41/9007/2021 - Aquisição ao abrigo dos AQs 2019/40 e 2019/61 para as instituições do SNS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2815075.2 € ;"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"ViiV Healthcare, Unipessoal Lda (509117961)";"2.815.075,20 €";24-06-2024;20-01-2021;365 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4028557;CP 2019/40 - Medicamentos antirretrovíricos para o tratamento da infeção por VIH;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1379997;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
