Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Concurso Público nº 1900015/2023 - Fornecimento de Serviços de Alimentação a Doentes e Refeitório do CHBM, EPE para o período de 2023 a 2025";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;3855110.82 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"UNISELF - SOCIEDADE DE RESTAURANTES PÚBLICOS E PRIVADOS, S.A. (501323325)";"3.855.110,82 €";02-06-2023;01-06-2023;884 dias;"Portugal, Setúbal, Barreiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2347966;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"00096_2018 Concurso Público para Fornecimento de serviços de alimentação a doentes e pessoal   do Centro Hospitalar do Barreiro Montijo, EPE  ";Concurso público;Aquisição de serviços;55321000-6;Principal;Serviços de preparação de refeições;2815286.05 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";UNISELF (501323325);"2.815.286,05 €";24-08-2018;15-05-2018;943 dias;"Portugal, Setúbal, Barreiro<BR/>Portugal, Setúbal";"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2020;"2.061.150,50 €";;Necessidade inferior ao estimado;;Não aplicável.;Não aplicável.;true;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Fornecimento de eletricidade em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2652650.97 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"PETROGAL, S.A. (500697370)";"2.652.650,97 €";11-05-2023;23-01-2023;366 dias;"Portugal, Setúbal, Barreiro";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2023;"983.098,51 €";;Consumo efetivo inferior ao inicialmente estimado;;4313070;Acordo-Quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/pap/listaDocs.jsp?papId=4252;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Fornecimento de gás natural em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09123000-7;Principal;Gás natural;2513999.67 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"Petrogal, S.A. (500697370)";"2.513.999,67 €";11-05-2023;23-01-2023;366 dias;"Portugal, Setúbal, Barreiro";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2023;"1.102.786,98 €";;Consumo efetivo foi inferior às estimativas iniciais;;5968149;Acordo-Quadro para o fornecimento de gás natural em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/pap/listaDocs.jsp?papId=4494;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
FI0010/2015 - MEDICAMENTOS ANTI - INFECCIOSOS E ANTI - RETROVIRAIS;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos - Medicamentos;2500793.1 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";GILEAD SCIENCES (503604704);"2.500.793,10 €";28-05-2015;05-02-2015;365 dias;"Portugal, Setúbal, Barreiro";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2015;"2.500.793,10 €";;;;461371;CP 2012/40 - MEDICAMENTOS ANTI-RETROVIRAIS;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
4180056/2019 - MED. TRAT. HIV (RILPIV.250MG+EMTRIC.200MG+TENOF.ALAF 25MG);Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2329715.4 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"GILEAD SCIENCES, LDA. (503604704)";"2.329.715,40 €";20-02-2020;18-01-2019;365 dias;"Portugal, Setúbal, Barreiro";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2019;"2.329.715,40 €";;;;2545980;CP 2017/61 - Acordo quadro para fornecimento de Medicamentos Diversos   às Instituições e Serviços do Serviço Nacional de Saúde;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Convite ao abrigo do(s) acordo(s)-quadro 2019/40, 2019/55 e  2021/6, para suprir necessidades na área da saúde ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2286084.9 € ;"CHBM - Centro Hospital Barreiro Montijo, EPE (509186998)";"ROCHE FARMACEUTICA QUIMICA, LDA (500233810)";"2.286.084,90 €";23-03-2022;11-02-2022;365 dias;"Portugal, Setúbal, Barreiro";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2022;"2.286.084,90 €";;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1780657;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"C.P. nº 1900019/2021 - Fornecimento de Alimentação a Doentes e Funcionários do CHBM, EPE";Concurso público;Aquisição de serviços;55322000-3;Principal;Serviços de confecção de refeições;2194088.88 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"UNISELF - Sociedade de Restaurantes Públicos e Privados, SA (501323325)";"2.194.088,88 €";05-05-2021;04-05-2021;600 dias;"Portugal, Setúbal, Barreiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2022;"2.441.226,40 €";;Reprogramação financeira;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1440787;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Concurso Público para prestação de serviços de higiene e limpeza, com fornecimento de consumíveis de casa de banho para o Centro Hospitalar Barreiro Montijo, EPE";Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;2050262.4 € ;"CHBM - Centro Hospital Barreiro Montijo, EPE (509186998)";"EULEN, S.A. SUCURSAL EM PORTUGAL (980122538)";"2.050.262,40 €";02-11-2020;08-06-2018;900 dias;"Portugal<BR/>Portugal, Setúbal, Barreiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2020;"2.108.446,11 €";A data prevista da execução do contrato  é 31/12/2020;Serviços complementares não previstos. ;;Não aplicável.;Não aplicável.;true;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
