Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
EMPREITADA DO NOVO EDIFICIO PARA A EXPANSÃO DO CENTRO HOSPITALAR DE SETUBAL;Concurso limitado por prévia qualificação;Empreitadas de obras públicas;45200000-9;Principal;Obras de construção total ou parcial e de engenharia civil;2.202014379E7 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";FERREIRA CONSTRUCAO S A (501633561);"22.020.143,79 €";20-04-2023;19-12-2022;549 dias;"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1945851;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
SPMS-822-2024;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";4063811.79 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";"AMGEN-BIOFARMACEUTICA, LDA. (502942959), BRISTOL - MYERS SQUIBB SA. (500048193), NOVARTIS (500063524), U C B PHARMA – PROD FARMACEUTICOS (500291322), VIIVHIV HEALTHCARE UNIPESSOAL, LDA (509117961)";"4.063.811,79 €";12-04-2024;12-02-2024;365 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5758956;CP 2022/40 - Medicamentos antirretrovíricos para o tratamento da infeção por VIH;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Serviços Limpeza;Concurso limitado por prévia qualificação;Aquisição de serviços;90900000-6;Principal;Serviços de limpeza e saneamento;3499290.99 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";"Ferlimpa 2, Lda. (506278522)";"3.499.290,99 €";22-09-2023;11-05-2023;1095 dias;"Portugal, Setúbal, Setúbal";"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1828512;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
 SPMS-831-2024;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";2953130.37 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";"Laboratórios Pfizer, Lda. (500162166), JANSSEN CILAG FARMACEUTICA, LDA. (500189412)";"2.953.130,37 €";15-04-2024;12-02-2024;365 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6529857;481/2023 - Acordo quadro para fornecimento de medicamentos diversos;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Diversos medicamentos para o ano 2009.;Ajuste Direto Regime Geral;;;;;;"Centro Hospitalar de Setúbal, E.P.E. (507606787)";"Roche Farmacêutica Química, Lda (500233810)";"2.885.738,84 €";17-03-2009;;90 dias;;"De acordo com a alínea a) do nº. 1 do artº. 16 do Decreto-Lei nº. 18/2008 de 29-01, conjugado com a alínea e) do nº. 1 do artº. 24 do referido Diploma.";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Fornecimento de Diversos Medicamentos;Ajuste Direto Regime Geral;Aquisição de bens móveis;33690000-3;Principal;Medicamentos vários - Para uso hospitalar;Inexistente;Centro Hospitalar de Setúbal E.P.E. (507606787);"Roche Farmacêutica Química, Lda (500233810)";"2.882.357,32 €";04-03-2011;21-02-2011;365 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
 Medicamentos do Foro Oncológico e Imunomoduladores ;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";2671873.53 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";"CELGENE, SOCIEDADE UNIPESSOAL, LDA (507791690), LABORATORIOS PFIZER LDA (500162166), BAXTER (503347345), LILLY PORTUGAL PRODUTOS FARMACEUTICOS, LDA (500165602), Sandoz Farmacêutica, Lda. (506985261), ABBVIE,LDA (510229050), PHARMAKERN PORTUGAL - PRODUTOS FARMACÊUTICOS, SOCIEDADE UNIPESSOAL, LDA.  (507002571), BDRPHARMA (513077332), MEDAC SUCURSAL PORTUGAL (980369959), ASTELLAS FARMA, LDA. (502540249), JANSSEN CILAG FARMACEUTICA, LDA (500189412), TEVA PHARMA - PRODUTOS FARMACEUTICOS,LDA (507045491), Takeda Farmacêuticos Portugal, Lda (502801204), Generis Farmaceutica SA (508107997), ACCORD HEALTHCARE UNIPESSOAL LDA (508622263), Boehringer Ingelheim Portugal (500537410)";"2.671.873,53 €";02-05-2023;12-04-2023;731 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;false;https://www.base.gov.pt/base4;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Serviços Vigilância e Segurança, 36 meses";Concurso limitado por prévia qualificação;Aquisição de serviços;79710000-4;Principal;Serviços de segurança;2463408.0 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";"Prestibel - Empresa de Segurança, S.A. (501326456)";"2.463.408,00 €";07-10-2022;22-08-2022;1096 dias;"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1866209;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Medicamentos;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33000000-0;Principal;"Equipamento médico, medicamentos e produtos para cuidados pessoais";2342081.74 € ;"Centro Hospitalar de Setúbal, E. P. E. (507606787)";Viv Healthcare (509117961);"2.342.081,74 €";15-03-2021;25-01-2021;365 dias;"Portugal, Setúbal, Setúbal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4028557;CP 2019/40 - Medicamentos antirretrovíricos para o tratamento da infeção por VIH;false;https://www.base.gov.pt/base4;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
