Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
17000118_Remodelação e Ampliação do Hospital Amato Lusitano;Concurso público;Empreitadas de obras públicas;45215140-0;Principal;Construção de instalações hospitalares;3096513.54 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"Construtora Jerónimo Reis & Afonso, Ldª. (504837796)";"3.096.513,54 €";13-07-2018;10-07-2018;913 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";Cumprimento integral do contrato;22-01-2024;"3.822.332,16 €";As constantes no processo de concurso resultantes de trabalhos complementares e de pedidos do empreiteiro de prorrogação do prazo e seus fundamentos.;As constantes no processo de concurso resultantes de trabalhos complementares e seus fundamentos.;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Fornecimento de eletricidade em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2457391.85 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"Endesa Energia, S.A. – Sucursal Portugal (980245974)";"2.457.391,85 €";02-02-2023;28-12-2022;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;4313070;Acordo-Quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/pap/listaDocs.jsp?papId=4252;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Papel para fotocópia e Impressão ;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;30197643-5;Principal;Papel para fotocópia;1678737.97 € ;"Administração Central do Sistema de Saúde, IP (508188423), Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE (508100496), Centro Hospitalar do Alto Ave, EPE (508080827), Unidade Local de Saúde de Matosinhos, EPE (506361390), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Hospital Dr. Francisco Zagalo (507846044), Centro Hospitalar de Leiria-Pombal, EPE (509822932), Centro Hospitalar Barreiro Montijo, EPE (509186998), Centro Hospitalar do Algarve, EPE (510745997), Hospital de Magalhães Lemos, EPE (502828790), Administração Regional de Saúde do Centro, IP (503122165), Administração Regional de Saúde do Norte, IP (503135593), Instituto Português do Sangue e da Transplantação, IP (502423943), Centro Hospitalar Tondela-Viseu, EPE (509822940), Direção-Geral da Saúde (600037100), Centro Hospitalar de Entre Douro e Vouga,  EPE (508878462), Centro Hospitalar Tâmega e Sousa, EPE (508318262), Hospital José Luciano de Castro (501613021), Centro Hospitalar de Setúbal, EPE (507606787), Hospital Espírito Santo, EPE (508085888), Centro Hospitalar Cova da Beira, EPE (506361659), Centro Hospitalar de Lisboa Norte, EPE (508481287), Instituto Nacional de Saúde Dr. Ricardo Jorge, IP (501427511), Centro Hospitalar Lisboa Central, EPE (508080142), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Secretaria-Geral do Ministério da Saúde (600080684), Instituto Português de Oncologia do Porto Francisco Gentil, EPE (506362299), Unidade Local de Saúde do Alto Minho, EPE (508786193), Unidade Local de Saúde de Castelo Branco, EPE (509309844), Autoridade Nacional do Medicamento e Produtos de Saúde, IP (600037002), Administração Regional de Saúde do Alentejo, IP (503148768), Instituto Nacional de Emergência Médica, IP (501356126), Centro Hospitalar do Médio Ave, EPE (508093937), Unidade Local de Saúde do Nordeste, EPE (509932584), Unidade Local de Saúde do Baixo Alentejo, EPE (508754275), Unidade Local de saúde da Guarda, EPE (508752000), Centro Hospitalar de S. João, EPE (509821197), Administração Regional de Saúde do Algarve, IP (503148709), Centro Hospitalar de Lisboa Ocidental, EPE (507618319), Instituto Português de Oncologia de Coimbra Francisco Gentil, EPE (506361438), Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências (600084884), Centro Hospitalar Vila Nova de Gaia/Espinho, EPE (508142156), Centro Hospitalar do Médio Tejo, EPE (506361608), Hospital de Santarém, EPE (506361462), Serviços Partilhados do Ministério da Saúde, EPE (509540716), Hospital Distrital Figueira da Foz, EPE (506361527), Centro Hospitalar e Universitário de Coimbra, EPE (510103448), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Administração Regional de Saúde de Lisboa e Vale do Tejo, IP (503148776), Inspeção-Geral das Atividades em Saúde (600018857), Hospital Santa Maria Maior, EPE (506361381), Centro Hospitalar do Porto, EPE (508331471), Centro Hospitalar do Oeste (510412009), Hospital Professor Doutor Fernando Fonseca, EPE (503035416), Unidade Local de Saúde do Norte Alentejano, EPE (508094461), Hospital Garcia de Orta, EPE (506361470), Hospital Arcebispo João Crisóstomo (501626123)";"staples portugal,sa (503789372)";"1.678.737,97 €";01-04-2014;02-01-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-01-2014;"5.443,80 €";;O total efetivo corresponde apenas a este Centro Hospitalar.;;162548;"Concurso limitado por prévia qualificação para a celebração de Acordo Quadro para fornecimento de papel, economato e consumíveis de impressão.";true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Fornecimento de eletricidade em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;1475504.0 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"Iberdrola Clientes Portugal, Unipessoal, Lda.  (502124083)";"1.475.504,00 €";29-12-2023;27-12-2023;366 dias;"Portugal, Castelo Branco";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4313070;Acordo-Quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/acessoDocs.jsp?codigoAcesso=MiQusfmSOPhbwmWsqFeW17LOklLq9OyBYotiOTy0r9EaDoGaab;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
AQUISIÇÃO DE ELETRICIDADE AO ABRIGO DOS LOTES 2 E 3 DO ACORDO QUADRO DA ESPAP (AQ-ELE 2019) PARA AS ENTIDADES DO MINISTÉRIO DA SAÚDE;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;1039716.48 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"Iberdrola Clientes Portugal, Unipessoal, Lda.  (502124083)";"1.039.716,48 €";09-03-2022;25-02-2022;275 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;4313070;Acordo-Quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/pap/listaDocs.jsp?papId=2647;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Empreitada de obras públicas de Implementação de Medidas de Racionalização Energética a realizar no Hospital Amato Lusitano;Ajuste Direto Regime Geral;Empreitadas de obras públicas;45260000-7;Principal;Edificação de coberturas e outras construções especializadas;Inexistente;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"Constrope - Construções, SA (502828110)";"989.705,00 €";12-04-2010;09-04-2010;270 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 5.º, n.º 3 do Decreto-Lei n.º 34/2009";;;;;;;Não aplicável.;Não aplicável.;;;false;;;"DL nº 34/2009, de 06.02";false;false;
Fornecimento de gás natural em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09123000-7;Principal;Gás natural;966666.67 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"Petrogal, S.A. (500697370)";"966.666,67 €";08-02-2023;27-01-2023;365 dias;"Portugal<BR/>Portugal, Castelo Branco, Castelo Branco";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;07-02-2024;"543.183,09 €";;.;;5968149;Acordo-Quadro para o fornecimento de gás natural em regime de mercado livre para Portugal Continental;true;https://plataforma-sncp.espap.gov.pt/espap/faces/app/pap/listaDocs.jsp?papId=4494;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"AQUISIÇÃO DE SERVIÇOS PARA REALIZAÇÃO DE SESSÕES DE HEMODIÁLISE, COM FORNECIMENTO DE MATERIAL DE CONSUMO CLÍNICO, DISPONIBILIZAÇÃO DE EQUIPAMENTOS E RESPETIVA MANUTENÇÃO E ASSISTÊNCIA TÉCNICA À ULSCB, EPE";Concurso público;Aquisição de serviços;85111900-9;Principal;Serviços de diálise hospitalar;899100.0 € ;"Unidade Local de Saúde de Castelo Branco, EPE (509309844)";"Fresenius Medical Care Portugal, SA (503070220)";"899.100,00 €";12-01-2023;12-01-2023;1096 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NTg1MjYz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de energia eléctrica ao abrigo do AQ-PARA -2015;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;807437.59 € ;"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998), Hospital do Espírito Santo de Évora, E. P. E. (508085888), Hospital de Santarém, EPE (506361462), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Unidade Local de Saúde do Litoral Alentejano, E. P. E. (510445152), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844), Centro Hospitalar Cova da Beira, EPE (506361659), Centro Hospitalar Médio Ave, E.P.E.. (508093937), Hospital Dr. Francisco Zagalo (501510150), Centro de medicina e Reabilitação da Região Centro Rovisco Pais (503767336), Administração Regional de Saúde Algarve, I.P. (503148709), Unidade Local de Saúde Nordeste, EPE (509932584), Hospital de José Luciano de Castro (501613021), Centro Hospitalar de Lisboa Ocidental, E. P. E. (507618319), Administração Regional de Saúde Norte, I.P. (503135593), Centro Hospitalar do Algarve, E. P. E. (510745997), Hospital Distrital da Figueira da Foz, EPE (506361527), Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461), Administração Regional de Saúde do Centro, I. P. (503122165), Hospital Arcebispo João Crisóstomo (501626123), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Porto, E. P. E. (508331471), Instituto Português de Oncologia de Lisboa Francisco Gentil, E. P. E. (506361616), Inspeção-Geral das Atividades em Saúde (600018857), Hospital de Magalhães Lemos, E. P. E. (502828790), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Centro Hospitalar de São João, E. P. E. (509821197), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar Psiquiátrico de Lisboa (CHPL) (508338476), Hospital Prof. Doutor Fernando Fonseca E.P.E. (503035416), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Unidade Local de Saúde de Matosinhos, EPE (ULSM) (506361390), Administração Regional de Saúde Lisboa e Vale do Tejo, I.P. (503148776), Unidade Local de Saude do Baixo Alentejo, EPE (508754275), Administração Central do Sistema de Saúde, I. P. (508188423), Unidade Local de Saúde da Guarda, E. P. E. (508752000), Hospital Santa Maria Maior, E. P. E. (506361381), Instituto Nacional de Saúde Dr. Ricardo Jorge, I. P. (501427511), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E. (506362299), Centro Hospitalar Tondela-Viseu, E. P. E. (509822940), Hospital Garcia de Orta, E. P. E. (506361470), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Secretaria-Geral do Ministério da Saúde - SNCP (600080684), Centro Hospitalar do Alto Ave, EPE (508080827), SUCH - Serviço Utilização Comum Hospitais (500900469), Instituto de Oftalmologia Dr. Gama Pinto (600000052), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), CENTRO HOSPITALAR DE LEIRIA, E.P.E. (509822932), Instituto Português do Sangue e da Transplantação, I. P. (502423943), Administração Regional de Saúde do Alentejo, I. P. (503148768), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Direção-Geral da Saúde (600037100), Instituto Nacional de Emergência Médica, I. P. (501356126), Centro Hospitalar do Baixo Vouga, E. P. E (CHBV, E. P. E.) (510123210), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Instituto Português de Oncologia de Coimbra - Francisco Gentil E.P.E. (506361438)";"GALP Power, S.A. (504723456)";"807.437,59 €";26-08-2015;13-02-2015;305 dias;"Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2015;"807.437,59 €";NÃO APLICÁVEL;NÃO APLICÁVEL;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
