Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Medicamentos do foro oncológico - com base no CPA 2013/6;Ajuste Direto Regime Geral;Aquisição de bens móveis;33698000-9;Principal;Produtos para fins clínicos;2.811876516E7 € ;"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"JANSSEN CILAG FARMACEUTICA, LDA (500189412), AMGEN BIOFARMACEUTICA, LDA (502942959), BRISTOL MYERS SQUIBB FARM.PORTUGUESA, SA (500048193), ABBVIE, LDA (510229050), SANOFI-AVENTIS  - PRODUTOS FARMACEUTICOS , LDA (500134960), NOVARTIS FARMA - PROD. FARMACEUTICOS,  SA. (500063524), GLAXO SMITH KLINE PRODUTOS FARMACEUTICOS, LDA (500139962), ASTELLAS FARMA, LDA (502540249), PROFARIN, LDA (500223238), PIERRE FABRE MEDICAMENT PORTUGAL, LDA (500230366), MERCK SHARP E DOHME, LDA (500191360), TEVA PHARMA - PRODUTOS FARMACÊUTICOS, LDA (507045491), IPSEN PORTUGAL PRODUTOS FARMACEUTICOS, SA (502609800), HOSPIRA PORTUGAL, LDA (502918098), MERCK S.A. (500650870), FERRER PORTUGAL S.A. (500069190), BIOGEN IDEC PORTUGAL, SOC FARMACÊUTICA, UNIPESSOAL (506415740), PHARMIS BIOFARMACÊUTICA, LDº (502595442), BAYER PORTUGAL, SA (500043256), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), MEDAC (980369959), ASTRAZENECA PRODUTOS FARMACÊUTICOS, LDA (502942240), FARMOZ SOC. TECNICO MEDICINAL, SA (501505334), LILLY PORTUGAL PRODUTOS FARMACEUTICOS, LDA (500165602), GENERIS FARMACEUTICA, SA (508107997), RES MEDICAL- PRESTAÇAO SERVIÇOS COMERCIAIS, SA (502440163), LABORATORIOS PFIZER, LDA (500162166)";"31.589.591,37 €";05-07-2016;29-10-2015;365 dias;"Portugal, Coimbra, Coimbra";Artigo 258.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2015;"28.118.765,16 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Medicamentos anti-infecciosos e antiretrovirais - c/ base no CPA 2013/40;Ajuste Direto Regime Geral;Aquisição de bens móveis;33698000-9;Principal;Produtos para fins clínicos;1.092919168E7 € ;"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"BRISTOL MYERS SQUIBB FARM.PORTUGUESA, SA (500048193), VIIVVHIV HEALTHCARE, UNIPESSOAL LDA (509117961), UNILFARMA, LDA (500293023), ABBVIE, LDA (510229050), GILEAD SCIENCES, LDA (503604704), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), MERCK SHARP E DOHME, LDA (500191360), JANSSEN CILAG FARMACEUTICA, LDA (500189412)";"12.763.207,62 €";05-07-2016;22-01-2015;365 dias;"Portugal, Coimbra, Coimbra";Artigo 258.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2015;"10.929.191,68 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
CPA 2012/6 - Medicamentos do foro oncológico II;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33698000-9;Principal;Produtos para fins clínicos;1.227324745E7 € ;"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"BIOGEN IDEC PORTUGAL, SOC FARMACÊUTICA, UNIPESSOAL (506415740), JANSSEN CILAG FARMACEUTICA, LDA (500189412), MEDAC (980369959), NOVARTIS FARMA - PROD. FARMACEUTICOS,  SA. (500063524), LILLY PORTUGAL PRODUTOS FARMACEUTICOS, LDA (500165602), MERCK S.A. (500650870), BAXTER MEDICO - FARMACEUTICO, LDA (503347345), LABORATORIOS PFIZER, LDA (500162166), BRISTOL MYERS SQUIBB FARM.PORTUGUESA, SA (500048193), OVERPHARMA-PRODUTOS MÉDICOS E FARMACÉUTICOS,LDA (505792362), IPSEN PORTUGAL PRODUTOS FARMACEUTICOS, SA (502609800), MERCK SHARP E DOHME, LDA (500191360), TEVA PHARMA - PRODUTOS FARMACÊUTICOS, LDA (507045491), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), ASTELLAS FARMA, LDA (502540249), ABBVIE, LDA (510229050)";"12.273.247,45 €";31-08-2015;23-01-2014;365 dias;"Portugal, Coimbra, Coimbra";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2014;"14.137.339,07 €";;aumento consumo;;1513257;Acordo quadro para fornecimento de Medicamentos diversos II   às Instituições e Serviços do Serviço Nacional de Saúde  ;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Medicamentos anti-infecciosos, anti-retrovirais";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33698000-9;Principal;Produtos para fins clínicos;1.134891578E7 € ;"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"MERCK SHARP E DOHME, LDA (500191360), ROCHE FARMACEUTICA QUIMICA, LDA (500233810), GLAXO SMITH KLINE PRODUTOS FARMACEUTICOS, LDA (500139962), UNILFARMA, LDA (500293023), JANSSEN CILAG FARMACEUTICA, LDA (500189412), Bristol Myers Squibb (500048193), GILEAD SCIENCES, LDA (503604704), ABBVIE, LDA (510229050), VIIVVHIV HEALTHCARE, UNIPESSOAL LDA (509117961)";"11.663.507,38 €";27-08-2015;06-02-2014;365 dias;"Portugal, Coimbra, Coimbra";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;31-12-2014;"11.348.915,78 €";;;;1423488; ACORDO QUADRO PARA FORNECIMENTO DE DERIVADOS DO PLASMA HUMANO ÀS INSTITUIÇÕES E SERVIÇOS DO SERVIÇO NACIONAL DE SAÚDE CP 2015/9;false;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"Aquisição de serviços de vigilância e segurança humana para o Centro Hospitalar e Universitário de Coimbra, E.P.E";Concurso público;Aquisição de serviços;79710000-4;Principal;Serviços de segurança;8805463.2 € ;"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"Grupo 8 - Vigilância e Prevenção Electrónica, SA. (500131210)";"8.805.463,20 €";05-01-2023;28-12-2022;1096 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2074461;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Procedimento agregado ao abrigo do lote 6 do acordo quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;8141570.84 € ;"Centro Hospitalar e Universitário de Coimbra, EPE (510103448)";"Endesa Energia, S.A. – Sucursal Portugal (980245974)";"8.141.570,84 €";12-04-2021;11-01-2021;365 dias;"Portugal, Coimbra, Coimbra<BR/>Portugal";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4313070;Acordo-Quadro para o fornecimento de eletricidade em regime de mercado livre para Portugal Continental;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1297953;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"254/2022 - Convite ao abrigo do(s) acordo(s)-quadro 2019/55, 2020/1, 2020/61 - medicamentos diversos, 2021/6, 2021/12, 2021/61, 2022/40, 2022/55, para suprir necessidades na área da saúde";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;8101079.32 € ;"Centro Hospitalar e Universitário de Coimbra, E.P. (510103448)";MERCK SHARP DOHME (500191360);"8.101.079,32 €";04-04-2023;23-02-2023;366 dias;"Portugal, Coimbra, Coimbra";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5032541;CP 2021/6 - Medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2213883;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Empreitada de remodelação e ampliação do Serviço de Urgência do Bloco Central do CHUC, EPE";Concurso limitado por prévia qualificação;Empreitadas de obras públicas;45200000-9;Principal;Obras de construção total ou parcial e de engenharia civil;7735936.09 € ;"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"Constructora San José SA, (A36006666)";"7.735.936,09 €";02-12-2022;23-11-2022;455 dias;"Portugal, Coimbra, Coimbra";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1831905;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"050101512024_816/2024_Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/47, 2021/61, 2022/40, 2023/305, 2023/481, 2023/491 e 2023/492";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;7573840.24 € ;"Centro Hospitalar e Universitário de Coimbra, E.P. (510103448)";"Merck Sharp & Dohme, Lda. (500191360)";"7.573.840,24 €";24-06-2024;14-03-2024;334 dias;"Portugal, Coimbra, Coimbra";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6677696;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2740051;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
