Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de eletricidade englobando BTE, MT, AT e MAT";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09310000-5;Principal;Electricidade;2.371168378E7 € ;"Instituto Nacional de Emergência Médica, I.P. (501356126), SUCH - Serviço de Utilização Comum dos Hospitais (500900469), Unidade Local de Saúde de Matosinhos, E.P.E. (506361390), Centro Hospitalar Póvoa de Varzim - Vila do Conde, E.P.E. (508741823), Hospital Santa Maria Maior, E.P.E. - Barcelos (506361381), Hospital de Santarém, E.P.E. (506361462), Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262), Centro Hospitalar do Alto Ave, E.P.E. (508080827), Centro Hospitalar de Trás-os-Montes e Alto Douro, E. P. E. (508100496), Unidade Local de Saúde do Litoral Alentejano, E.P.E. (510445152), Centro Hospitalar de Setúbal, E. P. E. (507606787), Centro Hospitalar do Médio Tejo, E. P. E. (506361608), Hospital Garcia de Orta, E.P.E. (506361470), Administração Regional de Saúde Algarve, I.P. (503148709), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Centro Hospitalar Lisboa Norte, E. P. E. (508481287), Hospital José Luciano de Castro - Anadia (501613021), Administração Regional de Saúde do Alentejo, I. P. (503148768), INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde I.P. (600037002), Centro Hospitalar Barreiro Montijo, E.P.E. (509186998), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Direcção-Geral da Saúde (600037100), Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156), Centro Hospitalar de Lisboa Central, E. P. E. (508080142), Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E. (506361438), Instituto Português do sangue (502423943), CENTRO HOSPITALAR DO ALGARVE (508718872), Administração Regional de Saúde do Norte, I. P. (503135593), Unidade Local de Saúde da Guarda, E.P.E. (508752000), Centro Hospitalar de Leiria, E.P.E. (509822932), Centro Hospitalar Tondela-Viseu, E.P.E. (509822940), Insituto Nacional de Saúde Dr. Ricardo Jorge, I.P. (501427511), Centro Hospitalar de Lisboa Ocidental, E.P.E. (507618319), Inspeção-Geral das Atividades em Saúde (600018857), Centro Hospitalar do Baixo Vouga, E.P.E. (510123210), Centro Hospitalar do Porto, E.P.E. (508331471), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Centro Hospitalar do Médio Ave, E.P.E. (508093937), Administração Regional de Saúde do Centro, I. P. (503122165), Unidade Local de Saúde do Alto Minho, E. P. E. (508786193), Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275), Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776), Unidade Local de Saúde do Nordeste, E. P. E (509932584), Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. (506362299), Hospital Professor Doutor Fernando Fonseca, E.P.E. (503035416), Serviço Partilhados do Ministério da Saúde, E. P. E. (509540716), Centro Hospitalar Cova da Beira, EPE (506361659), Administração Central do Sistema de Saúde, I.P. (508188423), Unidade Local de Saúde de Castelo Branco, E.P.E. (509309844), Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448), Hospital do Espírito Santo de Évora, E. P. E. (508085888), CHO - Centro Hospitalar do Oeste (510412009), Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462), Hospital de Magalhães Lemos, E. P. E. (502828790), Secretaria-Geral do Ministério da Saúde (600080684), Hospital Dr. Francisco Zagalo - Ovar (501510150)";E.D.P. (503504564);"23.711.683,78 €";01-04-2014;01-03-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-12-2014;"356.327,09 €";;diminuicao das necessidades;;314294;Acordo quadro para o fornecimento de electricidade em regime de mercado livre para Portugal Continental;true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
Aquisição de Reagentes de Química e Imunoquímica;Concurso público;Aquisição de bens móveis;33696500-0;Principal;Reagentes de laboratório;3274721.27 € ;"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"ABBOTT LABORATORIOS, LDA.                          (500006148)";"3.274.721,27 €";02-09-2019;26-08-2019;1460 dias;"Portugal, Aveiro, Santa Maria da Feira<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
01/80314.29/2020 - Aquisição de Material para a Cirurgia de Obesidade  Laparoscópica e Colorectal Laparoscópica;Concurso público;Aquisição de bens móveis;33160000-9;Principal;Técnicas cirúrgicas;2682000.0 € ;"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"MEDTRONIC PORTUGAL,LDA (504223933)";"2.682.000,00 €";20-08-2020;12-08-2020;1080 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1151162;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"02/83883.42/2021 - Empreitada de Remodelação do Serviço de Urgência do CHEDV, EPE - Unidade de Santa Maria da Feira";Concurso público;Empreitadas de obras públicas;45215140-0;Principal;Construção de instalações hospitalares;2177983.27 € ;"CENTRO HOSPITALAR DE ENTRE O DOURO E VOUGA, E.P.E. (508878462)";"J. da Silva Faria, Ldª (501600051)";"2.177.983,27 €";16-02-2022;27-01-2022;548 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1685663;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
FR_11/80189.12/2022 - Aquisição de Reagentes para Biologia Molecular por Tecnologia de PCR em Tempo Real (RT-PCR);Ajuste Direto Regime Geral;Aquisição de bens móveis;33696500-0;Principal;Reagentes de laboratório;2091600.0 € ;"CENTRO HOSPITALAR DE ENTRE O DOURO E VOUGA, E.P.E. (508878462)";"WERFEN PORTUGAL, LDA. (501086110)";"2.091.600,00 €";26-01-2022;25-01-2022;365 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1773769;false;;;"Decreto-Lei n.º 10-A/2020, de 13.03";false;false;
Aquisição de Prestação de Serviços para Fornecimento de  Alimentação 2024;Concurso público;Aquisição de serviços;55500000-5;Principal;Serviços de cantinas e de fornecimento de refeições (catering);1695000.09 € ;"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"Uniself - Sociedade de Restaurantes Públicos e Privados, S.A. (501323325)";"1.695.000,09 €";16-02-2024;22-01-2024;366 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2589340;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Papel para fotocópia e Impressão ;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;30197643-5;Principal;Papel para fotocópia;1678737.97 € ;"Administração Central do Sistema de Saúde, IP (508188423), Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE (508100496), Centro Hospitalar do Alto Ave, EPE (508080827), Unidade Local de Saúde de Matosinhos, EPE (506361390), Centro Medicina de Reabilitação da Região Centro Rovisco Pais (503767336), Hospital Dr. Francisco Zagalo (507846044), Centro Hospitalar de Leiria-Pombal, EPE (509822932), Centro Hospitalar Barreiro Montijo, EPE (509186998), Centro Hospitalar do Algarve, EPE (510745997), Hospital de Magalhães Lemos, EPE (502828790), Administração Regional de Saúde do Centro, IP (503122165), Administração Regional de Saúde do Norte, IP (503135593), Instituto Português do Sangue e da Transplantação, IP (502423943), Centro Hospitalar Tondela-Viseu, EPE (509822940), Direção-Geral da Saúde (600037100), Centro Hospitalar de Entre Douro e Vouga,  EPE (508878462), Centro Hospitalar Tâmega e Sousa, EPE (508318262), Hospital José Luciano de Castro (501613021), Centro Hospitalar de Setúbal, EPE (507606787), Hospital Espírito Santo, EPE (508085888), Centro Hospitalar Cova da Beira, EPE (506361659), Centro Hospitalar de Lisboa Norte, EPE (508481287), Instituto Nacional de Saúde Dr. Ricardo Jorge, IP (501427511), Centro Hospitalar Lisboa Central, EPE (508080142), Centro Hospitalar Psiquiátrico de Lisboa (508338476), Secretaria-Geral do Ministério da Saúde (600080684), Instituto Português de Oncologia do Porto Francisco Gentil, EPE (506362299), Unidade Local de Saúde do Alto Minho, EPE (508786193), Unidade Local de Saúde de Castelo Branco, EPE (509309844), Autoridade Nacional do Medicamento e Produtos de Saúde, IP (600037002), Administração Regional de Saúde do Alentejo, IP (503148768), Instituto Nacional de Emergência Médica, IP (501356126), Centro Hospitalar do Médio Ave, EPE (508093937), Unidade Local de Saúde do Nordeste, EPE (509932584), Unidade Local de Saúde do Baixo Alentejo, EPE (508754275), Unidade Local de saúde da Guarda, EPE (508752000), Centro Hospitalar de S. João, EPE (509821197), Administração Regional de Saúde do Algarve, IP (503148709), Centro Hospitalar de Lisboa Ocidental, EPE (507618319), Instituto Português de Oncologia de Coimbra Francisco Gentil, EPE (506361438), Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências (600084884), Centro Hospitalar Vila Nova de Gaia/Espinho, EPE (508142156), Centro Hospitalar do Médio Tejo, EPE (506361608), Hospital de Santarém, EPE (506361462), Serviços Partilhados do Ministério da Saúde, EPE (509540716), Hospital Distrital Figueira da Foz, EPE (506361527), Centro Hospitalar e Universitário de Coimbra, EPE (510103448), Instituto de Oftalmologia Dr. Gama Pinto (600000052), Administração Regional de Saúde de Lisboa e Vale do Tejo, IP (503148776), Inspeção-Geral das Atividades em Saúde (600018857), Hospital Santa Maria Maior, EPE (506361381), Centro Hospitalar do Porto, EPE (508331471), Centro Hospitalar do Oeste (510412009), Hospital Professor Doutor Fernando Fonseca, EPE (503035416), Unidade Local de Saúde do Norte Alentejano, EPE (508094461), Hospital Garcia de Orta, EPE (506361470), Hospital Arcebispo João Crisóstomo (501626123)";"staples portugal,sa (503789372)";"1.678.737,97 €";01-04-2014;02-01-2014;365 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;30-01-2014;"5.443,80 €";;O total efetivo corresponde apenas a este Centro Hospitalar.;;162548;"Concurso limitado por prévia qualificação para a celebração de Acordo Quadro para fornecimento de papel, economato e consumíveis de impressão.";true;;false;;;Código dos Contratos Públicos (DL 18/2008);false;false;
"02/80438.42/2021 REMOÇÃO DE COBERTURAS EM FIBROCIMENTO, APLICAÇÃO DE NOVAS COBERTURAS E REVESTIMENTO DE FACHADAS COM ETICS NO HOSPITAL DE SÃO SEBASTIÃO";Concurso público;Empreitadas de obras públicas;45321000-3;Principal;Obras de isolamento térmico;1639024.64 € ;"CENTRO HOSPITALAR DE ENTRE O DOURO E VOUGA, E.P.E. (508878462)";"ERI, Engenharia, S.A. (503571083)";"1.639.024,64 €";28-07-2021;09-07-2021;365 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1428105;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Prestação de Serviços para Fornecimento de Alimentação 2023;Concurso público;Aquisição de serviços;55500000-5;Principal;Serviços de cantinas e de fornecimento de refeições (catering);1613416.99 € ;"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"Uniself - Sociedade de Restaurantes Públicos e Privados, S.A. (501323325)";"1.613.416,99 €";07-02-2023;26-01-2023;365 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2122301;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Gás Natural para o Centro Hospitalar de Entre o Douro e Vouga, EPE";Concurso público;Aquisição de serviços;65200000-5;Principal;Serviços de distribuição de gás e serviços conexos;1613416.99 € ;"CENTRO HOSPITALAR DE ENTRE O DOURO E VOUGA, E.P.E. (508878462)";Goldenergy - Comercializadora de Energia SA (507857542);"1.613.416,99 €";13-03-2023;16-01-2023;365 dias;"Portugal, Aveiro, Santa Maria da Feira<BR/>Portugal, Aveiro, São João da Madeira<BR/>Portugal, Aveiro, Oliveira de Azemeis";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2141951;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
