Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Aquisição de Serviços de Alimentação com Remodelação das Instalações de Cozinha e Refeitório e  Fornecimento de Cozinha Temporária para o Centro Hospitalar Universitário de São João, EPE";Concurso público;Aquisição de serviços;55320000-9;Principal;Serviços de provimento de refeições;3.895439616E7 € ;"Centro Hospitalar Universitário de São João, E. P. E. (509821197)";"Mediterránea de Catering, SLU (IMPICES526636104), SUCH | Serviço de Utilização Comum dos Hospitais (500900469)";"38.954.396,16 €";25-01-2022;31-12-2021;3650 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1106079;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Construção Nova Ala Pediátrica do CHUSJ, EPE";Ajuste Direto Regime Geral;Empreitadas de obras públicas;45215100-8;Principal;Obras de construção de edifícios relacionados com serviços de saúde;2.170769192E7 € ;"Centro Hospitalar São João, EPE (509821197)";"Casais - Engenharia e Construção, S.A. (500023875)";"21.707.691,92 €";25-09-2019;30-08-2019;540 dias;"Portugal, Porto, Porto";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
"Prestação de Serviços de Lavandaria ao Centro Hospitalar de S. João, E.P.E. com instalação de sistema de rastreabilidade têxtil";Concurso público;Aquisição de serviços;98311100-7;Principal;Serviços de gestão de lavandarias;8838039.3 € ;"Centro Hospitalar Universitário de São João, E. P. E. (509821197)";"Serviço de Utilização Comum dos Hospitais (500900469), SNL IBÉRICA SOCIEDADE DE LAVANDARIAS LDA (509235689), Fujitsu Technology Solutions, Lda. (500646791)";"8.838.039,30 €";24-09-2019;16-07-2019;1095 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Aquisição de Serviços de Diálise Peritoneal para o CHUSJ, EPE.";Concurso público;Aquisição de serviços;85141211-1;Principal;Serviços de diálise ao domicílio;7706883.24 € ;"Centro Hospitalar Universitário de São João, E. P. E. (509821197)";"BAXTER MEDICO - FARMACEUTICA, LDA (503347345)";"7.706.883,24 €";02-02-2022;01-02-2022;1095 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1163786;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Aquisição de Serviços de Limpeza para o CHUSJ, EPE.";Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;7038180.0 € ;"Centro Hospitalar São João, EPE (509821197)";Euromex Facility Services Lda (502629428);"7.038.180,00 €";10-03-2020;01-03-2020;1095 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Medicamentos antirretrovíricos para o tratamento da infeção por VIH ao abrigo do CPA 2022/40;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;6889806.0 € ;"Centro Hospitalar São João, EPE (509821197)";"VIIVHIV HEALTHCARE, UNIPESSOAL. LDA (509117961)";"6.889.806,00 €";21-03-2023;02-03-2023;337 dias;"Portugal, Porto, Porto";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5758956;CP 2022/40 - Medicamentos antirretrovíricos para o tratamento da infeção por VIH;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2251567;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"418/2023 - Convite ao abrigo do(s) acordo(s)-quadro 2021/41 (Medicamentos antivíricos e antifúngicos), 2020/1 (Medicamentos do aparelho cardiovascular), 2022/40 (Medicamentos antirretrovíricos para o ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;6549455.57 € ;"Centro Hospitalar São João, EPE (509821197)";"JANSSEN CILAG FARMACEUTICA, LDA. (500189412)";"6.549.455,57 €";18-05-2023;13-04-2023;305 dias;"Portugal, Porto, Porto<BR/>Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5354516;CP 2021/55 - Medicamentos diversos;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2276563;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição do medicamento IVACAFTOR 75 MG + TEZACAFTOR 50 MG + ELEXACAFTOR 100 MG COMP (KAFTRIO) + IVACAFTOR 150 MG COMP (KALYDECO);Ajuste Direto Regime Geral;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;6545123.52 € ;"Centro Hospitalar Universitário de São João, E. P. E. (509821197)";"VERTEX PHARMACEUTICALS (PORTUGAL), UNIPESSOA  LDA (513481613)";"6.545.123,52 €";01-02-2023;27-01-2023;28 dias;"Portugal, Porto, Porto";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2206066;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição do medicamento IVACAFTOR 75 MG + TEZACAFTOR 50 MG + ELEXACAFTOR 100 MG COMP (KAFTRIO) + IVACAFTOR 150 MG COMP (KALYDECO);Ajuste Direto Regime Geral;Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;6515640.99 € ;"Centro Hospitalar São João, EPE (509821197)";"VERTEX PHARMACEUTICALS (PORTUGAL), UNIPESSOAL LDA. (513481613)";"6.515.640,99 €";08-02-2024;08-02-2024;366 dias;"Portugal, Porto, Porto";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2722075;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/61 - Medicamentos diversos, 2023/304 - Medicamentos do grupo 4: sangue e 2023/491 - Medicamentos do foro oncológico e imunomoduladores para aquisição de medicamentos";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;6478374.17 € ;Unidade Local de Saúde de São João E.P.E. (509821197);"ROCHE FARMACEUTICA QUIMICA, LDA (500233810)";"6.478.374,17 €";10-04-2024;06-03-2024;306 dias;"Portugal, Porto, Porto";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6677696;491/2023 - Concurso público internacional para formação do acordo quadro de medicamentos do foro oncológico e imunomoduladores;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2779853;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
